종목명,기호,종가,변동 %,시가 총액,거래량,섹터
한국전자홀딩스,006200,922.00,1.88%,39.69B,33.23K,기술
참엔지니어링,009310,460.00,0.44%,38.65B,299.92K,기술
하이트론,019490,1.31K,-2.24%,36.94B,77.54K,기술
미래아이앤지,007120,1.19K,5.86%,29.68B,357.58K,기술
경인전자,009140,21.80K,2.35%,27.72B,1.46K,기술
주연테크,044380,463.00,0.43%,26.40B,93.68K,기술
SK리츠,395400,4.01K,0.63%,1.08T,258.43K,부동산
ESR켄달스퀘어리츠,365550,4.39K,2.09%,916.28B,141.70K,부동산
제이알글로벌,348950,4.02K,0.50%,789.50B,217.69K,부동산
롯데리츠,330590,3.10K,-0.32%,756.85B,257.36K,부동산
신한알파리츠,293940,6.01K,0.17%,528.60B,114.17K,부동산
코람코에너지,357120,4.80K,-0.21%,425.85B,83.70K,부동산
삼성FN리츠,448730,5.02K,-0.40%,389.59B,50.82K,부동산
맵스리얼티1,094800,4.21K,0.84%,387.58B,31.63K,부동산
한국자산신탁,123890,3.02K,1.86%,362.21B,144.84K,부동산
Hanwha REIT,451800,5.17K,0.78%,362.18B,29.65K,부동산
이리츠코크렙,088260,4.79K,-1.03%,306.57B,133.95K,부동산
이지스밸류플러스리츠,334890,4.83K,0.84%,246.16B,38.99K,부동산
디앤디플랫폼리츠,377190,3.42K,0.74%,218.32B,56.13K,부동산
SK디앤디,210980,11.55K,1.49%,217.11B,287.77K,부동산
한국토지신탁,034830,1.01K,1.50%,215.45B,299.24K,부동산
신한서부티엔디리츠,404990,3.71K,1.78%,203.96B,49.43K,부동산
코람코더원리츠,417310,4.83K,1.15%,193.11B,11.05K,부동산
자이에스앤디,317400,4.03K,0.75%,154.94B,37.18K,부동산
KB Star REIT,432320,4.21K,1.32%,149.60B,75.37K,부동산
NH올원리츠,400760,3.42K,0.88%,143.06B,15.24K,부동산
미래에셋글로벌리츠,396690,2.98K,0.68%,117.04B,29.22K,부동산
이지스레지던스리츠,350520,3.98K,-0.25%,113.15B,7.26K,부동산
NH프라임리츠,338100,4.22K,-0.24%,79.03B,21.42K,부동산
미래에셋맵스리츠,357250,3.14K,1.13%,77.61B,68.72K,부동산
마스턴프리미어리츠,357430,2.80K,0.36%,74.16B,33.80K,부동산
케이탑리츠,145270,1.02K,0.79%,48.18B,88.59K,부동산
스타리츠,204210,4.11K,4.85%,30.68B,470.55K,부동산
이스타코,015020,736.00,-3.03%,29.52B,663.64K,부동산
에이리츠,140910,3.13K,0.00%,13.97B,0.00,부동산
LG엔솔,373220,377.00K,3.43%,85.29T,155.69K,산업
삼성SDI,006400,405.50K,5.05%,25.58T,319.73K,산업
삼성SDI우,006405,234.50K,4.92%,25.58T,2.26K,산업
삼성물산,028260,140.30K,1.08%,22.66T,254.85K,산업
삼성물산우B,02826K,103.40K,1.47%,22.66T,984.00,산업
LG,003550,76.20K,0.13%,11.82T,442.02K,산업
LG우,003555,59.20K,0.68%,11.82T,8.23K,산업
한화에어로스페이스 ,012450,226.00K,2.73%,11.13T,489.71K,산업
HMM,011200,14.66K,-0.27%,10.13T,1.32M,산업
HD현대중공업,329180,120.30K,8.09%,9.88T,407.62K,산업
두산에너빌리티,034020,14.90K,4.05%,9.17T,2.89M,산업
한화오션,042660,33.30K,14.83%,8.88T,7.09M,산업
HD한국조선해양,009540,119.40K,6.32%,7.94T,375.10K,산업
HD현대일렉트릭,267260,239.00K,12.21%,7.67T,1.11M,산업
대한항공,003490,20.55K,1.99%,7.45T,771.10K,산업
대한항공우,003495,23.40K,1.74%,7.45T,473.00,산업
삼성중공업,010140,9.54K,9.78%,7.42T,38.87M,산업
포스코인터내셔널,047050,43.80K,4.29%,7.15T,1.04M,산업
현대글로비스,086280,170.90K,0.00%,6.41T,42.43K,산업
두산밥캣,241560,51.80K,2.98%,5.04T,212.90K,산업
삼성엔지니어링,028050,25.70K,3.63%,4.86T,1.13M,산업
한국항공우주,047810,49.05K,1.03%,4.73T,384.72K,산업
두산로보틱스,454910,72.70K,2.25%,4.61T,229.82K,산업
현대로템,064350,41.15K,2.88%,4.37T,2.88M,산업
SKIET,361610,60.80K,1.67%,4.26T,121.93K,산업
LS일렉트릭,010120,155.00K,8.32%,4.20T,1.81M,산업
한진칼,180640,57.40K,-0.17%,3.83T,42.60K,산업
현대건설,000720,32.40K,3.35%,3.54T,296.60K,산업
현대건설우,000725,49.30K,0.31%,3.54T,1.18K,산업
LIG넥스원,079550,158.10K,-0.06%,3.45T,195.75K,산업
LS,006260,130.50K,14.88%,3.12T,894.50K,산업
한화시스템,272210,16.77K,3.39%,3.03T,659.19K,산업
효성중공업,298040,328.00K,6.32%,2.87T,160.42K,산업
현대미포조선,010620,64.90K,9.81%,2.36T,634.23K,산업
CJ대한통운,000120,123.00K,6.03%,2.31T,152.29K,산업
대한전선,001440,13.10K,8.18%,2.25T,9.90M,산업
호텔신라,008770,57.20K,2.33%,2.11T,170.83K,산업
호텔신라우,008775,44.20K,1.84%,2.11T,4.06K,산업
팬오션,028670,3.96K,0.89%,2.10T,2.57M,산업
한전기술,052690,56.50K,3.86%,2.07T,120.19K,산업
한전KPS,051600,33.80K,2.11%,1.49T,74.84K,산업
HD현대인프라코어,042670,7.72K,3.21%,1.49T,1.27M,산업
대우건설,047040,3.65K,1.25%,1.48T,464.63K,산업
한국앤컴퍼니,000240,15.77K,1.61%,1.47T,68.35K,산업
현대엘리베이,017800,39.80K,0.51%,1.43T,42.85K,산업
DL이앤씨우,37550K,17.49K,0.63%,1.30T,1.43K,산업
DL이앤씨,375500,33.40K,2.77%,1.30T,60.11K,산업
GS건설,006360,14.27K,1.35%,1.20T,166.77K,산업
HDC현대산업개발,294870,15.90K,0.63%,1.01T,253.49K,산업
롯데렌탈,089860,26.75K,1.13%,968.97B,21.00K,산업
Hanwha Engine,082740,11.59K,0.87%,958.56B,2.39M,산업
LX인터내셔널,001120,26.05K,0.58%,931.57B,134.52K,산업
일진전기,103590,20.50K,7.61%,908.25B,2.44M,산업
HD현대건설기계,267270,51.70K,4.02%,904.70B,157.68K,산업
제주항공,089590,10.99K,4.47%,847.61B,187.80K,산업
경동나비엔,009450,54.30K,0.74%,779.01B,16.02K,산업
아시아나항공,020560,10.81K,4.24%,771.65B,127.34K,산업
아이에스동서,010780,25.80K,3.61%,750.74B,28.66K,산업
SK오션플랜트,100090,12.93K,3.11%,742.31B,107.69K,산업
흥아해운,003280,2.94K,-2.33%,722.00B,6.27M,산업
진에어,272450,13.43K,3.31%,678.60B,259.67K,산업
쏘카,403550,19.69K,1.97%,633.20B,10.51K,산업
한국단자,025540,62.50K,2.46%,629.22B,11.11K,산업
NICE평가정보,030190,10.45K,-0.19%,616.89B,49.67K,산업
티웨이항공,091810,2.69K,1.90%,566.98B,763.36K,산업
LS전선아시아,229640,18.81K,3.64%,550.45B,637.83K,산업
대한해운,005880,1.80K,2.39%,547.30B,2.46M,산업
신성이엔지,011930,2.23K,3.48%,438.68B,1.77M,산업
세진중공업,075580,7.37K,6.20%,380.99B,1.04M,산업
에이프로젠 MED,007460,1.61K,4.15%,376.37B,6.03M,산업
STX중공업,071970,13.99K,8.96%,366.62B,1.06M,산업
STX엔진,077970,13.76K,5.36%,361.07B,174.15K,산업
삼부토건,001470,1.64K,0.92%,331.31B,1.49M,산업
퍼시스,016800,35.55K,0.00%,318.14B,1.61K,산업
수산인더스트리,126720,22.10K,2.08%,309.29B,16.95K,산업
에어부산,298690,2.68K,3.68%,301.42B,103.54K,산업
한진,002320,21.25K,3.41%,297.34B,32.59K,산업
대동,000490,12.06K,3.08%,275.09B,176.35K,산업
가온전선,000500,41.00K,6.63%,274.10B,1.17M,산업
삼익THK,004380,13.88K,5.55%,272.21B,291.50K,산업
케이씨,029460,22.00K,-1.57%,271.98B,130.47K,산업
도화엔지니어링,002150,7.50K,2.04%,244.72B,30.35K,산업
HJ중공업,097230,3.00K,3.62%,241.48B,399.04K,산업
세방,004360,11.59K,-0.34%,235.62B,40.04K,산업
세방우,004365,7.38K,0.82%,235.62B,424.00,산업
STX,011810,7.64K,6.70%,221.82B,2.16M,산업
한전산업,130660,6.99K,3.25%,220.70B,65.22K,산업
SNT에너지,100840,11.04K,1.75%,214.41B,118.49K,산업
AJ네트웍스,095570,4.70K,0.11%,210.82B,268.42K,산업
한국공항,005430,65.70K,2.50%,196.03B,9.60K,산업
TYM,002900,4.65K,2.20%,195.32B,141.09K,산업
현대코퍼레이션,011760,16.50K,2.29%,193.74B,26.00K,산업
대원전선,006340,2.60K,6.12%,189.94B,34.11M,산업
대원전선우,006345,5.22K,0.38%,189.94B,2.42M,산업
대교,019680,2.51K,1.41%,188.46B,6.53K,산업
대교우B,019685,1.54K,1.51%,188.46B,38.27K,산업
일진홀딩스,015860,4.13K,2.61%,185.32B,59.02K,산업
삼성출판사,068290,18.10K,2.14%,177.20B,33.10K,산업
KSS해운,044450,7.90K,0.89%,176.78B,29.50K,산업
퍼스텍,010820,3.46K,1.02%,166.19B,614.44K,산업
코오롱글로벌,003070,8.33K,0.73%,165.60B,9.46K,산업
코오롱글로벌우,003075,13.00K,-0.91%,165.60B,374.00,산업
동아지질,028100,12.28K,0.99%,164.81B,12.50K,산업
한라,014790,1.96K,0.98%,160.56B,22.00K,산업
우진,105840,8.16K,2.13%,158.34B,135.19K,산업
금호건설,002990,4.17K,0.12%,152.80B,16.04K,산업
금호산업우,002995,11.99K,0.00%,152.80B,84.00,산업
한미글로벌,053690,15.09K,2.03%,150.44B,50.02K,산업
효성ITX,094280,12.49K,0.08%,148.61B,3.68K,산업
현대리바트,079430,7.33K,0.69%,146.43B,8.08K,산업
대성홀딩스,016710,8.88K,0.45%,142.23B,14.15K,산업
디와이,013570,5.78K,0.52%,141.85B,64.48K,산업
대창단조,015230,5.64K,3.49%,141.16B,99.34K,산업
디와이파워,210540,12.88K,1.34%,140.27B,21.36K,산업
진흥기업,002780,958.00,2.46%,135.96B,360.41K,산업
진흥기업2우B,002787,12.30K,-0.97%,135.96B,200.00,산업
진흥기업우B,002785,4.23K,0.00%,135.96B,185.00,산업
한신기계,011700,4.29K,4.77%,132.70B,271.78K,산업
유수홀딩스,000700,5.37K,0.94%,130.33B,8.17K,산업
수산중공업,017550,2.02K,1.00%,124.80B,65.38K,산업
KTcs,058850,3.19K,1.27%,119.51B,220.66K,산업
동부건설,005960,4.95K,2.06%,116.40B,16.29K,산업
동부건설우,005965,23.20K,1.75%,116.40B,258.00,산업
동방,004140,2.35K,-2.08%,114.71B,1.28M,산업
계룡건설,013580,12.85K,0.94%,112.76B,16.17K,산업
유니온머티리얼,047400,2.79K,6.91%,109.41B,1.22M,산업
KCTC,009070,3.67K,1.10%,108.56B,31.43K,산업
광명전기,017040,2.69K,7.60%,106.18B,15.68M,산업
KIB플러그에너지,015590,430.00,-1.15%,103.09B,3.79M,산업
인바이오젠,101140,467.00,0.00%,93.32B,0.00,산업
태영건설,009410,2.31K,0.00%,89.84B,0.00,산업
태영건설우,009415,3.56K,0.00%,89.84B,0.00,산업
화성산업,002460,9.82K,0.41%,89.47B,5.71K,산업
기신정기,092440,2.98K,-0.17%,87.02B,7.19K,산업
대동전자,008110,11.74K,0.95%,86.53B,153.30K,산업
케이티스,058860,2.83K,0.89%,85.89B,83.23K,산업
신세계건설,034300,10.26K,0.88%,78.92B,8.28K,산업
KC코트렐,119650,1.25K,2.87%,77.68B,78.00K,산업
삼호개발,010960,3.27K,0.31%,72.89B,4.99K,산업
화천기계,010660,3.85K,4.48%,72.86B,1.12M,산업
한신공영,004960,6.27K,1.79%,71.28B,10.35K,산업
태양금속,004100,2.08K,6.85%,70.74B,710.83K,산업
태양금속우,004105,4.17K,6.11%,70.74B,55.55K,산업
까뮤이앤씨,013700,1.56K,2.02%,69.22B,82.39K,산업
엔케이,085310,873.00,2.71%,67.05B,198.31K,산업
세원이앤씨,091090,254.00,0.00%,66.99B,0.00,산업
CS홀딩스,000590,63.60K,2.58%,66.78B,1.56K,산업
천일고속,000650,46.70K,-0.11%,66.71B,37.00,산업
화천기공,000850,30.35K,1.51%,65.78B,2.21K,산업
일성건설,013360,1.21K,1.34%,64.51B,173.42K,산업
인터지스,129260,2.28K,-0.22%,64.47B,42.60K,산업
한솔로지스틱스,009180,2.24K,0.67%,61.73B,54.48K,산업
혜인,003010,5.56K,2.02%,58.58B,63.85K,산업
제일연마,001560,8.61K,0.12%,58.57B,2.68K,산업
남광토건,001260,6.05K,2.20%,58.16B,8.85K,산업
한국종합기술,023350,5.37K,2.09%,57.60B,16.64K,산업
우진플라임,049800,2.71K,0.18%,54.10B,42.83K,산업
선도전기,007610,3.00K,0.00%,53.61B,0.00,산업
한익스프레스,014130,4.68K,5.64%,52.27B,74.42K,산업
KC그린홀딩스,009440,2.33K,2.19%,50.44B,113.62K,산업
모나미,005360,2.68K,0.94%,50.17B,88.02K,산업
에쓰씨엔지니어링,023960,1.50K,0.00%,49.29B,176.94K,산업
시디즈,134790,29.10K,2.46%,47.68B,9.72K,산업
메타랩스,090370,1.81K,-1.58%,45.77B,87.22K,산업
범양건영,002410,1.40K,0.00%,34.76B,67.53K,산업
국보,001140,2.11K,0.00%,32.44B,0.00,산업
동양고속,084670,11.53K,-0.43%,30.21B,937.00,산업
우진아이엔에스,010400,4.43K,-0.11%,29.80B,8.37K,산업
금호전기,001210,715.00,0.85%,26.20B,91.54K,산업
한창,005110,1.25K,0.00%,23.33B,0.00,산업
코아스,071950,459.00,1.55%,13.97B,99.66K,산업
현대차2우B,005387,145.30K,-0.07%,50.27T,108.46K,소비순환재
현대차,005380,231.00K,-1.07%,50.27T,1.11M,소비순환재
현대차우,005385,145.00K,0.28%,50.27T,46.48K,소비순환재
현대차3우B,005389,143.20K,0.00%,50.27T,16.06K,소비순환재
기아,000270,112.20K,-0.80%,44.81T,1.64M,소비순환재
현대모비스,012330,235.00K,0.21%,21.26T,162.28K,소비순환재
하이브,352820,228.50K,4.34%,9.12T,259.74K,소비순환재
한국타이어앤테크놀로지,161390,60.90K,-2.87%,7.65T,272.88K,소비순환재
코웨이,021240,56.10K,-0.88%,4.11T,99.89K,소비순환재
강원랜드,035250,14.87K,1.09%,2.98T,564.47K,소비순환재
금호석유,011780,118.20K,1.37%,2.80T,56.21K,소비순환재
금호석유우,011785,60.80K,1.16%,2.80T,5.93K,소비순환재
한온시스템,018880,5.03K,0.20%,2.68T,1.06M,소비순환재
F&F,383220,65.30K,-0.31%,2.50T,74.55K,소비순환재
휠라홀딩스,081660,39.30K,-1.01%,2.39T,72.06K,소비순환재
제일기획,030000,18.99K,0.64%,1.91T,149.01K,소비순환재
금호타이어,073240,6.48K,0.78%,1.85T,296.49K,소비순환재
롯데쇼핑,023530,65.40K,0.62%,1.84T,42.24K,소비순환재
롯데지주,004990,25.40K,1.80%,1.79T,80.08K,소비순환재
영원무역,111770,36.90K,0.96%,1.60T,67.16K,소비순환재
신세계,004170,161.20K,0.25%,1.58T,42.55K,소비순환재
HL만도,204320,32.35K,0.62%,1.51T,205.15K,소비순환재
효성첨단소재,298050,337.00K,0.90%,1.49T,22.14K,소비순환재
현대위아,011210,56.70K,1.98%,1.48T,77.65K,소비순환재
효성티앤씨,298020,352.00K,3.38%,1.47T,61.35K,소비순환재
에스엘,005850,30.35K,1.17%,1.38T,65.03K,소비순환재
세방전지,004490,94.00K,0.53%,1.23T,98.51K,소비순환재
KG모빌리티,003620,5.83K,1.04%,1.13T,215.71K,소비순환재
현대백화점,069960,49.80K,1.53%,1.07T,41.81K,소비순환재
코오롱인더,120110,35.10K,2.63%,1000.00B,40.91K,소비순환재
코오롱인더우,120115,21.20K,-0.93%,1000.00B,5.53K,소비순환재
영원무역홀딩스,009970,83.30K,-0.36%,970.17B,13.41K,소비순환재
넥센타이어,002350,9.13K,-0.76%,906.64B,90.78K,소비순환재
넥센타이어1우B,002355,3.38K,0.00%,906.64B,7.42K,소비순환재
이노션,214320,22.05K,1.15%,872.00B,54.99K,소비순환재
하나투어,039130,57.50K,6.68%,834.91B,135.07K,소비순환재
GKL,114090,13.52K,1.43%,824.54B,154.12K,소비순환재
한세실업,105630,20.70K,1.47%,803.41B,103.06K,소비순환재
일진하이솔루스,271940,22.15K,4.24%,771.66B,16.57K,소비순환재
한샘,009240,47.60K,5.08%,746.50B,25.89K,소비순환재
명신산업,009900,14.19K,1.36%,734.58B,104.10K,소비순환재
롯데관광개발,032350,10.05K,5.90%,723.00B,1.04M,소비순환재
DN오토모티브,007340,79.80K,-1.24%,696.34B,6.87K,소비순환재
CJ CGV,079160,5.72K,0.88%,694.19B,536.90K,소비순환재
현대홈쇼핑,057050,59.00K,-1.67%,686.87B,132.30K,소비순환재
현대그린푸드,005440,4.54K,3.89%,680.52B,223.25K,소비순환재
케이씨씨글라스,344820,39.35K,0.13%,626.57B,11.26K,소비순환재
신세계인터내셔날,031430,17.54K,2.87%,608.69B,73.99K,소비순환재
케이카,381970,12.19K,-0.89%,592.64B,52.65K,소비순환재
쿠쿠홀딩스,192400,18.32K,-1.77%,579.61B,36.65K,소비순환재
SNT모티브,064960,45.10K,1.35%,573.73B,9.35K,소비순환재
F&F홀딩스,007700,14.40K,2.06%,551.28B,8.31K,소비순환재
DI동일,001530,27.00K,0.00%,531.35B,83.95K,소비순환재
화승엔터프라이즈,241590,8.99K,5.76%,515.01B,4.44M,소비순환재
엘브이엠씨,900140,2.87K,2.69%,474.90B,675.26K,소비순환재
서연이화,200880,17.36K,0.75%,465.60B,147.00K,소비순환재
현대에이치씨엔,126560,4.08K,0.62%,446.12B,195.19K,소비순환재
SBS,034120,23.45K,-1.26%,440.52B,87.63K,소비순환재
넥센우,005725,3.03K,-0.33%,414.99B,721.00,소비순환재
넥센,005720,4.14K,0.85%,414.99B,54.10K,소비순환재
LF,093050,14.56K,1.96%,406.41B,19.55K,소비순환재
한섬,020000,18.73K,-0.11%,402.69B,22.66K,소비순환재
SNT중공업,003570,16.93K,0.65%,376.66B,37.28K,소비순환재
