종목명,기호,종가,변동 %,시가 총액,거래량
"삼성SDS","018260","150.20K","3.30%","11.25T","103.76K"
"한화에어로스페이스 ","012450","226.00K","2.73%","11.13T","410.92K"
"카카오뱅크","323410","24.15K","4.09%","11.06T","530.44K"
"삼성전기","009150","147.00K","-0.41%","10.93T","343.29K"
"삼성전기우","009155","71.50K","0.14%","10.93T","3.19K"
"SK텔레콤","017670","50.70K","0.80%","10.68T","206.77K"
"SK스퀘어","402340","83.60K","6.09%","10.61T","429.60K"
"기업은행","024110","13.29K","3.83%","10.21T","1.01M"
"HMM","011200","14.75K","0.34%","10.13T","880.30K"
"KT&G","033780","90.20K","1.46%","10.03T","133.01K"
"고려아연","010130","475.00K","-0.52%","9.98T","44.53K"
"HD현대중공업","329180","120.60K","8.36%","9.88T","379.83K"
"SK이노우","096775","75.60K","1.34%","9.78T","1.53K"
"우리금융지주","316140","13.59K","3.19%","9.78T","1.40M"
"우리금융지주","316140","13.59K","3.19%","9.78T","1.40M"
"두산에너빌리티","034020","14.88K","3.91%","9.17T","2.44M"
"하이브","352820","229.50K","4.79%","9.12T","247.98K"
"한화오션","042660","33.80K","16.55%","8.88T","6.21M"
"아모레퍼시픽우","090435","40.60K","4.10%","8.71T","38.36K"
"아모레퍼시픽","090430","146.30K","2.96%","8.71T","291.92K"
"S-Oil우","010955","48.40K","-0.51%","8.66T","8.58K"
"S-oil","010950","75.70K","0.53%","8.66T","192.75K"
" SK우","03473K","127.80K","-0.54%","8.61T","1.22K"
"SK그룹","034730","157.50K","0.32%","8.61T","86.42K"
"KT","030200","33.70K","0.30%","8.26T","458.41K"
"HD한국조선해양","009540","119.90K","6.77%","7.94T","275.34K"
"HD현대일렉트릭","267260","236.50K","11.03%","7.67T","1.03M"
"한국타이어앤테크놀로지","161390","61.20K","-2.39%","7.65T","214.28K"
"대한항공우","003495","23.40K","1.74%","7.45T","473.00"
"대한항공","003490","20.75K","2.98%","7.45T","610.04K"
"삼성중공업","010140","9.60K","10.47%","7.42T","34.78M"
"에코프로머티리얼즈","450080","111.00K","6.53%","7.19T","299.13K"
"포스코인터내셔널","047050","43.70K","4.05%","7.15T","971.68K"
"현대글로비스","086280","171.20K","0.18%","6.41T","31.21K"
"SK 바이오팜 ","326030","84.70K","4.96%","6.32T","82.76K"
"LG생활건강우","051905","172.30K","-0.69%","6.02T","7.10K"
"LG생활건강","051900","382.00K","-1.04%","6.02T","99.14K"
"포스코DX","022100","40.20K","3.88%","5.88T","1.12M"
"맥쿼리인프라","088980","12.58K","0.72%","5.44T","572.75K"
"금양","001570","96.60K","5.34%","5.31T","366.38K"
"DB손해보험","005830","89.50K","1.59%","5.29T","77.03K"
"유한양행우","000105","60.80K","0.16%","5.11T","961.00"
"유한양행","000100","70.30K","2.63%","5.11T","205.65K"
"두산밥캣","241560","51.80K","2.98%","5.04T","180.00K"
"CJ제일제당","097950","334.00K","1.98%","5.00T","35.40K"
"CJ제일우","097955","142.50K","1.71%","5.00T","1.77K"
"LG디스플레이","034220","10.10K","2.85%","4.91T","952.57K"
"삼성엔지니어링","028050","25.85K","4.23%","4.86T","969.26K"
"한국항공우주","047810","49.30K","1.54%","4.73T","313.89K"
"엘앤에프","066970","149.10K","6.05%","4.71T","217.42K"
"코스모신소재","005070","147.20K","3.37%","4.63T","80.06K"
"두산로보틱스","454910","72.80K","2.39%","4.61T","215.05K"
"넷마블","251270","56.40K","3.49%","4.47T","74.02K"
"카카오페이","377300","33.80K","3.36%","4.40T","267.33K"
"현대로템","064350","41.10K","2.75%","4.37T","2.63M"
"SK바사","302440","58.50K","3.17%","4.36T","60.75K"
"LG이노텍","011070","187.00K","1.58%","4.36T","95.59K"
"HD현대","267250","61.20K","0.16%","4.32T","315.17K"
"SKIET","361610","61.00K","2.01%","4.26T","111.12K"
"롯데케미칼","011170","100.10K","0.20%","4.21T","99.89K"
"LS일렉트릭","010120","154.50K","7.97%","4.20T","1.73M"
"한화케미칼우","009835","20.65K","3.72%","4.13T","8.15K"
"한화솔루션","009830","25.70K","6.64%","4.13T","960.99K"
"코웨이","021240","56.50K","-0.18%","4.11T","77.45K"
"LG유플러스","032640","9.71K","1.68%","4.10T","594.72K"
"현대제철","004020","32.05K","4.57%","4.03T","599.54K"
"GS","078930","42.45K","0.24%","4.00T","156.52K"
"GS우","078935","36.60K","0.55%","4.00T","11.42K"
"삼성카드","029780","35.80K","-1.51%","3.88T","43.27K"
"한진칼","180640","57.60K","0.17%","3.83T","29.66K"
"SKC","011790","113.40K","0.98%","3.82T","538.45K"
"미래에셋대우2우b","00680K","3.52K","0.57%","3.79T","74.94K"
"미래에셋증권","006800","7.29K","0.55%","3.79T","306.45K"
"NH투자증권","005940","11.37K","3.46%","3.79T","529.88K"
"NH 투자증권 우","005945","10.44K","1.36%","3.79T","22.47K"
"미래에셋우","006805","3.93K","0.38%","3.79T","107.74K"
"한미약품","128940","315.00K","5.88%","3.77T","33.70K"
"현대오토에버","307950","138.20K","1.39%","3.74T","75.52K"
"오리온","271560","91.50K","0.44%","3.60T","293.21K"
"CJ 그룹","001040","120.30K","4.70%","3.57T","139.81K"
"CJ우","001045","57.90K","1.76%","3.57T","802.00"
"CJ4우","00104K","80.80K","3.32%","3.57T","12.92K"
"현대건설","000720","32.40K","3.35%","3.54T","249.64K"
"현대건설우","000725","49.30K","0.31%","3.54T","1.18K"
"쌍용C&E","003410","7.01K","0.14%","3.47T","56.17K"
"한국금융지주","071050","62.00K","1.81%","3.46T","50.61K"
"한국금융우","071055","44.15K","0.91%","3.46T","5.60K"
"LIG넥스원","079550","158.40K","0.13%","3.45T","176.19K"
"엔씨소프트","036570","169.40K","0.77%","3.41T","67.43K"
"키움증권","039490","126.70K","6.38%","3.25T","68.15K"
"삼성증권","016360","36.00K","0.00%","3.21T","244.22K"
"LS","006260","128.70K","13.29%","3.12T","744.69K"
"한화시스템","272210","16.78K","3.45%","3.03T","629.42K"
"강원랜드","035250","14.88K","1.16%","2.98T","472.94K"
"효성중공업","298040","329.50K","6.81%","2.87T","151.80K"
"금호석유","011780","118.50K","1.63%","2.80T","47.65K"
"금호석유우","011785","60.90K","1.33%","2.80T","5.88K"
"한온시스템","018880","5.02K","0.00%","2.68T","920.35K"
"BNK금융지주","138930","7.87K","1.55%","2.50T","587.84K"
"F&F","383220","65.40K","-0.15%","2.50T","71.03K"
"아모레G","002790","30.30K","2.71%","2.39T","252.36K"
"휠라홀딩스","081660","39.45K","-0.63%","2.39T","59.82K"
"아모레G우","002795","10.65K","1.04%","2.39T","13.18K"
"현대미포조선","010620","65.40K","10.66%","2.36T","535.14K"
"이수페타시스","007660","38.80K","5.43%","2.33T","1.65M"
"CJ대한통운","000120","122.80K","5.86%","2.31T","137.22K"
"현대해상","001450","29.35K","0.34%","2.29T","223.13K"
"JB금융지주","175330","12.12K","1.25%","2.27T","171.12K"
"대한전선","001440","12.92K","6.69%","2.25T","9.16M"
"농심","004370","379.50K","0.00%","2.19T","14.08K"
"한국가스공사","036460","25.25K","1.00%","2.15T","130.33K"
"한미사이언스","008930","33.05K","4.09%","2.15T","167.50K"
"두산","000150","141.70K","1.65%","2.11T","160.33K"
"씨에스윈드","112610","51.30K","0.79%","2.11T","210.93K"
"두산2우B","000157","72.20K","-0.82%","2.11T","2.18K"
"씨에스윈드","112610","51.30K","0.79%","2.11T","210.93K"
"두산","000150","141.70K","1.65%","2.11T","160.33K"
"호텔신라","008770","57.00K","1.97%","2.11T","141.38K"
"BGF리테일","282330","125.50K","3.29%","2.10T","134.04K"
"팬오션","028670","3.99K","1.79%","2.10T","1.85M"
"한전기술","052690","56.20K","3.31%","2.07T","103.00K"
"에스원","012750","60.80K","0.00%","2.06T","22.55K"
"한솔케미칼","014680","190.70K","1.44%","2.05T","33.38K"
"한화생명","088350","2.63K","0.38%","1.97T","1.14M"
"삼양식품","003230","266.00K","2.11%","1.94T","116.69K"
"한화3우B","00088K","14.76K","0.07%","1.92T","56.79K"
"한화우","000885","31.35K","-4.71%","1.92T","911.00"
"한화","000880","26.30K","1.74%","1.92T","172.64K"
"GS리테일","007070","19.01K","2.20%","1.92T","123.27K"
"제일기획","030000","18.80K","-0.37%","1.91T","102.84K"
"APR","278470","249.00K","-1.19%","1.91T","162.27K"
"롯데에너지머티리얼즈","020150","42.00K","3.32%","1.87T","172.79K"
"금호타이어","073240","6.44K","0.16%","1.85T","230.11K"
"롯데쇼핑","023530","65.40K","0.62%","1.84T","38.01K"
"OCI홀딩스","010060","93.00K","1.09%","1.80T","51.49K"
"롯데지주","004990","25.30K","1.40%","1.79T","63.14K"
"DB하이텍","000990","41.85K","0.36%","1.74T","150.65K"
"동서","026960","18.13K","4.08%","1.72T","155.73K"
"KCC","002380","235.50K","2.61%","1.69T","20.60K"
"이마트","139480","61.30K","-0.65%","1.65T","100.16K"
"이수스페셜티케미컬","457190","318.00K","7.80%","1.65T","103.82K"
"풍산","103140","60.60K","0.66%","1.64T","343.07K"
"한올바이오파마","009420","33.10K","3.76%","1.62T","197.91K"
"영원무역","111770","36.85K","0.82%","1.60T","55.43K"
"신세계","004170","160.60K","-0.12%","1.58T","34.70K"
"HL만도","204320","32.30K","0.47%","1.51T","180.15K"
"더존비즈온","012510","56.60K","3.47%","1.51T","448.48K"
"코스맥스","192820","135.20K","2.58%","1.50T","106.99K"
"효성첨단소재","298050","336.00K","0.60%","1.49T","21.39K"
"한전KPS","051600","33.65K","1.66%","1.49T","69.35K"
"HD현대인프라코어","042670","7.70K","2.94%","1.49T","1.14M"
"현대위아","011210","56.40K","1.44%","1.48T","63.56K"
"대우건설","047040","3.66K","1.67%","1.48T","395.72K"
"효성티앤씨","298020","353.00K","3.67%","1.47T","59.04K"
"한국앤컴퍼니","000240","15.69K","1.10%","1.47T","54.44K"
"하이트진로2우","000087","15.90K","0.32%","1.45T","492.00"
"하이트진로","000080","21.00K","0.96%","1.45T","44.01K"
"현대엘리베이","017800","39.95K","0.88%","1.43T","35.84K"
"솔루스첨단소재1우","33637K","3.62K","0.98%","1.38T","422.63K"
"솔루스첨단소재2우B","33637L","7.12K","-1.79%","1.38T","605.84K"
"솔루스첨단소재","336370","19.38K","4.47%","1.38T","6.13M"
"에스엘","005850","30.15K","0.50%","1.38T","51.04K"
"SK가스","018670","152.60K","-0.91%","1.38T","5.37K"
"DGB금융지주","139130","8.13K","-0.12%","1.35T","448.97K"
"오뚜기","007310","394.50K","0.13%","1.34T","1.59K"
"TCC스틸","002710","54.30K","6.68%","1.33T","268.23K"
"DL이앤씨","375500","33.00K","1.54%","1.30T","44.25K"
"DL이앤씨우","37550K","17.50K","0.69%","1.30T","1.31K"
"동원산업","006040","36.25K","1.83%","1.28T","32.81K"
"종근당홀딩스","185750","101.20K","2.12%","1.26T","13.91K"
"녹십자","006280","111.30K","1.55%","1.25T","8.88K"
"LX세미콘","108320","76.20K","-0.26%","1.24T","59.42K"
"대웅제약","069620","109.30K","1.11%","1.24T","13.78K"
"세방전지","004490","93.30K","-0.21%","1.23T","86.58K"
"솔루엠","248070","25.20K","1.00%","1.22T","182.38K"
"에스디바이오센서","137310","10.07K","0.90%","1.22T","119.90K"
"롯데칠성","005300","126.40K","1.28%","1.21T","8.05K"
"롯데칠성우","005305","67.10K","0.75%","1.21T","169.00"
"GS건설","006360","14.27K","1.35%","1.20T","145.36K"
"두산퓨얼셀1우","33626K","6.02K","5.43%","1.18T","149.72K"
"대덕전자","353200","23.95K","2.35%","1.18T","268.12K"
"두산퓨얼셀","336260","19.48K","8.34%","1.18T","316.72K"
"한국콜마","161890","50.10K","2.77%","1.15T","105.09K"
"KG모빌리티","003620","5.89K","2.08%","1.13T","188.12K"
"코리안리","003690","7.88K","2.34%","1.13T","150.46K"
"SK네트웍스","001740","5.47K","1.11%","1.12T","254.90K"
"코스모화학","005420","30.80K","5.66%","1.12T","175.81K"
"덴티움","145720","130.00K","0.78%","1.11T","31.03K"
"동원시스템즈","014820","40.80K","7.23%","1.11T","101.35K"
"동원시스템즈우","014825","24.20K","3.42%","1.11T","326.00"
"효성","004800","56.40K","1.62%","1.10T","20.64K"
"삼아알미늄","006110","79.60K","8.59%","1.08T","205.37K"
"SK리츠","395400","4.01K","0.63%","1.08T","230.98K"
"롯데웰푸드","280360","124.00K","2.65%","1.07T","7.61K"
"현대백화점","069960","49.85K","1.63%","1.07T","35.82K"
"롯데정밀화학","004000","41.80K","0.24%","1.06T","63.63K"
"DL","000210","49.85K","2.78%","1.05T","50.65K"
"DL우","000215","24.30K","4.29%","1.05T","5.08K"
"SK케미칼","285130","56.80K","0.00%","1.03T","11.89K"
"SK케미칼우","28513K","26.15K","0.38%","1.03T","2.69K"
"HDC현대산업개발","294870","15.87K","0.44%","1.01T","225.76K"
"코오롱인더","120110","35.00K","2.34%","1000.00B","35.55K"
"코오롱인더우","120115","21.25K","-0.70%","1000.00B","5.15K"
"롯데손해보험","000400","3.20K","1.75%","972.15B","2.40M"
"영원무역홀딩스","009970","83.50K","-0.12%","970.17B","12.36K"
"롯데렌탈","089860","26.85K","1.51%","968.97B","20.23K"
"Hanwha Engine","082740","11.85K","3.13%","958.56B","2.04M"
"대신증권우","003545","14.09K","0.79%","953.82B","25.06K"
"대신증권","003540","14.57K","1.18%","953.82B","40.46K"
"대신증권2우B","003547","13.62K","0.89%","953.82B","12.05K"
"LX인터내셔널","001120","26.10K","0.77%","931.57B","108.72K"
"ESR켄달스퀘어리츠","365550","4.39K","2.21%","916.28B","125.65K"
"일진전기","103590","20.35K","6.82%","908.25B","2.19M"
"넥센타이어","002350","9.13K","-0.76%","906.64B","83.00K"
"넥센타이어","002350","9.13K","-0.76%","906.64B","83.00K"
"HD현대건설기계","267270","51.70K","4.02%","904.70B","150.32K"
"세아제강지주","003030","217.50K","-1.14%","888.90B","6.40K"
"미원상사","002840","186.20K","-0.05%","879.19B","1.86K"
"이노션","214320","22.05K","1.15%","872.00B","51.15K"
"한일시멘트","300720","12.54K","1.13%","858.84B","44.16K"
"제주항공","089590","10.94K","3.99%","847.61B","177.60K"
"율촌화학","008730","34.40K","2.08%","835.76B","39.77K"
"하나투어","039130","57.40K","6.49%","834.91B","119.30K"
"오리온홀딩스","001800","13.89K","0.51%","831.36B","22.93K"
"해성디에스","195870","49.25K","0.72%","831.30B","53.32K"
"케이씨텍","281820","39.10K","-1.26%","826.12B","229.38K"
"GKL","114090","13.51K","1.35%","824.54B","135.96K"
"대한 유화","006650","133.60K","0.38%","822.04B","9.89K"
"SK디스커버리우","006125","30.90K","1.98%","806.95B","2.19K"
"SK디스커버리","006120","42.70K","1.18%","806.95B","18.04K"
"한세실업","105630","20.70K","1.47%","803.41B","93.00K"
"더블유게임즈","192080","40.80K","0.25%","793.56B","22.57K"
"제이알글로벌","348950","4.02K","0.50%","789.50B","186.87K"
"다우기술","023590","18.33K","1.33%","780.60B","56.11K"
"경동나비엔","009450","54.30K","0.74%","779.01B","13.08K"
"일진하이솔루스","271940","21.85K","2.82%","771.66B","15.27K"
"아시아나항공","020560","10.82K","4.34%","771.65B","115.96K"
"동양생명","082640","4.92K","0.20%","766.20B","119.68K"
"한화투자증권우","003535","7.87K","-2.36%","761.01B","16.81K"
"한화투자증권","003530","3.45K","1.47%","761.01B","1.30M"
"롯데리츠","330590","3.12K","0.16%","756.85B","230.49K"
"아이에스동서","010780","25.65K","3.01%","750.74B","25.54K"
"한샘","009240","47.30K","4.42%","746.50B","24.60K"
"NHN","181710","22.35K","1.59%","742.85B","31.54K"
"SK오션플랜트","100090","12.95K","3.27%","742.31B","99.21K"
"명신산업","009900","14.16K","1.14%","734.58B","98.37K"
"세아베스틸지주","001430","20.55K","0.98%","729.79B","129.18K"
"TKG휴켐스","069260","19.02K","0.11%","729.05B","35.87K"
"롯데관광개발","032350","10.01K","5.48%","722.86B","944.89K"
"흥아해운","003280","2.95K","-1.83%","722.00B","5.32M"
"동원F&B","049770","38.10K","2.14%","719.73B","95.17K"
"후성","093370","7.83K","2.76%","718.96B","207.52K"
"보령","003850","11.13K","2.87%","718.52B","175.61K"
"대상우","001685","16.69K","5.30%","718.14B","63.51K"
"대상","001680","20.80K","3.48%","718.14B","149.57K"
"대웅","003090","17.86K","2.64%","711.50B","24.08K"
"동아쏘시오홀딩스","000640","115.40K","1.94%","707.58B","4.22K"
"DN오토모티브","007340","79.80K","-1.24%","696.34B","4.82K"
"CJ CGV","079160","5.74K","1.23%","694.19B","485.86K"
"녹십자홀딩스2우","005257","26.30K","-1.31%","693.31B","1.61K"
"녹십자홀딩스","005250","15.54K","2.17%","693.31B","44.15K"
"미원에스씨","268280","139.30K","-1.35%","692.32B","1.02K"
"현대홈쇼핑","057050","59.10K","-1.50%","686.87B","107.91K"
"현대그린푸드","005440","4.53K","3.67%","680.52B","180.05K"
"진에어","272450","13.45K","3.46%","678.60B","245.15K"
"신풍우","019175","24.60K","4.90%","675.39B","4.51K"
"신풍제약","019170","13.06K","2.35%","675.39B","102.95K"
"영풍","000670","391.50K","0.00%","673.43B","1.16K"
"KG스틸","016380","6.92K","3.90%","666.37B","1.20M"
"JW Pharmaceutical","001065","29.70K","4.03%","662.56B","126.00"
"JW중외제약2우B","001067","59.40K","-0.17%","662.56B","5.00"
"JW중외제약","001060","29.90K","5.28%","662.56B","60.09K"
"미래에셋생명","085620","4.95K","1.64%","635.44B","67.63K"
"드림텍","192650","9.45K","1.72%","635.27B","264.60K"
"쏘카","403550","19.68K","1.92%","633.20B","9.52K"
"한국단자","025540","62.30K","2.13%","629.22B","10.11K"
"케이씨씨글라스","344820","39.50K","0.51%","626.57B","9.66K"
"NICE평가정보","030190","10.50K","0.29%","616.89B","43.69K"
"신세계인터내셔날","031430","17.48K","2.52%","608.69B","68.70K"
"OCI","456040","82.70K","2.86%","597.91B","14.67K"
"케이카","381970","12.26K","-0.33%","592.64B","48.34K"
"쿠쿠홀딩스","192400","18.38K","-1.45%","579.61B","29.12K"
"SNT모티브","064960","45.05K","1.24%","573.73B","8.32K"
"빙그레","005180","65.30K","1.24%","570.30B","142.18K"
"티웨이항공","091810","2.69K","2.09%","566.98B","730.63K"
"동아에스티","170900","68.40K","3.01%","566.52B","17.40K"
"SK Eternix","475150","22.25K","0.68%","564.88B","1.10M"
"애경케미칼","161000","12.16K","5.74%","555.08B","168.97K"
"유니드","014830","83.80K","0.84%","551.69B","21.23K"
"F&F홀딩스","007700","14.40K","2.06%","551.28B","7.87K"
"LS전선아시아","229640","18.84K","3.80%","550.45B","612.26K"
"대한해운","005880","1.80K","2.21%","547.30B","1.97M"
"교보증권","030610","4.82K","0.31%","541.77B","25.12K"
"유안타우","003475","2.77K","1.47%","538.77B","4.42K"
"유안타증권","003470","2.67K","2.10%","538.77B","96.17K"
"Dongkuk Steel Mill","460860","10.93K","1.39%","534.77B","515.32K"
"DI동일","001530","26.95K","-0.19%","531.35B","78.04K"
"신한알파리츠","293940","6.02K","0.33%","528.60B","106.97K"
"PI첨단소재","178920","18.75K","4.69%","525.95B","102.09K"
"디아이","003160","24.35K","20.25%","524.41B","10.02M"
"태광산업","003240","626.00K","0.81%","522.65B","403.00"
"삼양홀딩스우","000075","53.80K","-1.28%","516.24B","407.00"
"삼양홀딩스","000070","67.40K","0.30%","516.24B","2.83K"
"LX홀딩스","383800","6.76K","0.00%","515.35B","54.43K"
"LX홀딩스1우","38380K","8.87K","-1.22%","515.35B","1.90K"
"화승엔터프라이즈","241590","8.94K","5.18%","515.01B","4.34M"
"자화전자","033240","24.65K","1.44%","512.36B","48.30K"
"비에이치","090460","16.21K","0.50%","510.93B","128.05K"
"고려제강","002240","20.50K","1.74%","503.51B","27.32K"
"한국카본","017960","10.88K","6.35%","503.50B","582.40K"
"롯데정보통신","286940","33.85K","1.80%","503.05B","74.87K"
"제주은행","006220","14.99K","-2.79%","495.43B","4.22M"
"한국철강","104700","11.69K","0.52%","493.69B","274.91K"
"신영증권우","001725","63.80K","0.00%","493.34B","0.00"
"신영증권","001720","64.10K","1.26%","493.34B","4.44K"
"애경산업","018250","20.15K","5.11%","492.70B","231.96K"
"한화손해보험","000370","4.32K","2.86%","489.81B","509.74K"
"쿠쿠홈시스","284740","21.90K","0.92%","486.57B","11.37K"
"엘브이엠씨","900140","2.84K","1.79%","474.90B","564.80K"
"삼양사우","145995","28.00K","0.72%","471.37B","271.00"
"삼양사","145990","48.50K","1.68%","471.37B","6.04K"
"서연이화","200880","17.37K","0.81%","465.60B","133.27K"
"SPC삼립","005610","57.40K","0.17%","464.43B","2.82K"
"삼화콘덴서","001820","43.90K","0.80%","446.87B","267.86K"
"현대에이치씨엔","126560","4.05K","0.12%","446.12B","159.99K"
"NICE","034310","12.54K","0.08%","445.25B","13.78K"
"지역난방공사","071320","39.15K","2.62%","441.73B","10.97K"
"SBS","034120","23.40K","-1.47%","440.52B","78.75K"
"신성이엔지","011930","2.22K","3.02%","438.68B","1.55M"
"풀무원홀딩스","017810","11.62K","-1.94%","435.73B","85.52K"
"코람코에너지","357120","4.79K","-0.31%","425.85B","78.85K"
"HDC","012630","8.36K","3.08%","420.23B","113.55K"
"유진투자증권","001200","4.36K","-4.50%","418.79B","2.34M"
"넥센우","005725","3.03K","-0.33%","414.99B","721.00"
"넥센","005720","4.15K","0.97%","414.99B","52.31K"
"세아홀딩스","058650","105.80K","-0.09%","412.61B","129.00"
"아세아","002030","238.50K","-0.83%","411.28B","1.75K"
"부광약품","003000","6.07K","1.17%","410.73B","135.95K"
"엠씨넥스","097520","23.65K","1.72%","409.61B","23.53K"
"BioNote","377740","4.04K","1.38%","407.20B","15.81K"
"LF","093050","14.56K","1.96%","406.41B","17.85K"
"풍산홀딩스","005810","29.45K","0.34%","405.05B","15.50K"
"코리아써우","007815","6.70K","2.60%","405.03B","4.39K"
"코리아써키트","007810","16.42K","1.99%","405.03B","78.10K"
"한섬","020000","18.74K","-0.05%","402.69B","21.65K"
"일동제약","249420","14.83K","2.99%","402.23B","49.33K"
"Hyundai Green Food","453340","11.90K","0.85%","399.44B","35.47K"
"남양유업우","003925","401.50K","0.63%","395.48B","298.00"
"남양유업","003920","495.50K","2.38%","395.48B","995.00"
"삼성FN리츠","448730","5.05K","0.20%","389.59B","33.56K"
"맵스리얼티1","094800","4.21K","0.72%","387.58B","24.21K"
"세진중공업","075580","7.41K","6.77%","380.99B","969.49K"
"아세아제지","002310","44.95K","0.00%","378.78B","0.00"
"E1","017940","65.30K","0.00%","377.55B","4.40K"
"SNT중공업","003570","16.86K","0.24%","376.66B","32.19K"
"에이프로젠 MED","007460","1.61K","4.28%","376.37B","5.19M"
"한일홀딩스","003300","12.15K","0.00%","374.60B","16.10K"
"세아제강","306200","133.50K","1.14%","374.39B","6.72K"
"영진약품","003520","2.06K","1.48%","370.36B","121.86K"
"아세아시멘트","183190","9.86K","0.61%","367.11B","49.04K"
"STX중공업","071970","14.01K","9.11%","366.62B","944.65K"
"한국자산신탁","123890","3.00K","1.52%","362.21B","137.84K"
"Hanwha REIT","451800","5.14K","0.19%","362.18B","29.34K"
"STX엔진","077970","13.77K","5.44%","361.07B","151.40K"
"KG케미칼","001390","5.44K","3.23%","360.83B","143.19K"
"LX하우시스","108670","38.20K","0.79%","360.41B","3.71K"
"LX하우시스우","108675","20.20K","-1.94%","360.41B","4.17K"
"화신","010690","10.43K","0.58%","360.34B","134.80K"
"락앤락","115390","8.69K","6.23%","354.31B","3.39M"
"이아이디","093230","1.39K","0.00%","354.07B","0.00"
"백광산업","001340","7.79K","0.00%","343.92B","0.00"
"한국쉘석유","002960","264.50K","0.38%","342.55B","2.98K"
"BGF","027410","3.61K","1.40%","340.72B","35.16K"
"파미셀","005690","5.71K","2.88%","333.02B","156.28K"
"남해화학","025860","7.02K","1.30%","332.28B","34.04K"
"삼부토건","001470","1.64K","1.11%","331.31B","1.32M"
"유나이티드제약","033270","22.70K","1.34%","329.53B","18.29K"
"SNT홀딩스","036530","22.70K","0.44%","326.79B","6.44K"
"대상홀딩스우","084695","18.70K","14.72%","325.23B","74.40K"
"대상홀딩스","084690","8.65K","0.93%","325.23B","201.27K"
"SGC에너지","005090","22.40K","0.00%","322.72B","10.60K"
"HLB글로벌","003580","7.32K","1.24%","321.86B","224.59K"
"대원강업","000430","5.24K","1.95%","318.68B","102.23K"
"송원산업","004430","13.65K","2.86%","318.48B","59.08K"
"퍼시스","016800","34.80K","-2.11%","318.14B","1.40K"
"알루코","001780","3.35K","2.29%","316.63B","6.52M"
"HL Holdings","060980","32.80K","0.77%","312.76B","7.07K"
"LS네트웍스","000680","4.36K","3.44%","311.65B","333.95K"
"수산인더스트리","126720","22.05K","1.85%","309.29B","15.19K"
"대원제약","003220","14.79K","1.93%","307.55B","100.98K"
"신도리코","029530","36.30K","1.82%","307.40B","10.05K"
"삼천리","004690","90.50K","1.00%","306.79B","3.32K"
"이리츠코크렙","088260","4.79K","-1.03%","306.57B","132.79K"
"휴스틸","005010","4.42K","2.91%","305.66B","817.67K"
"현대비앤지스틸","004560","20.40K","2.00%","303.77B","297.13K"
"스틱인베스트먼트","026890","8.32K","0.36%","303.18B","85.30K"
"에어부산","298690","2.67K","3.48%","301.42B","99.08K"
"BYC우","001465","16.45K","-3.80%","300.74B","6.84K"
"BYC","001460","41.15K","-2.95%","300.74B","6.01K"
"농심홀딩스","072710","64.20K","-0.31%","298.67B","2.30K"
"조일알미늄","018470","2.48K","5.10%","298.22B","36.96M"
"한진","002320","21.15K","2.92%","297.34B","30.13K"
