종목명,기호,종가,변동 %,시가 총액,거래량,섹터
윙스풋,335870,1.60K,1.14%,11.62B,28.68K,금융
상상인제3호스팩,415580,2.10K,0.00%,11.12B,1.62K,금융
유안타제11호스팩,444920,2.10K,0.00%,11.00B,5.26K,금융
IBKS제22호스팩,448760,2.48K,1.02%,10.90B,1.00,금융
엔에이치스팩24호,437780,2.15K,0.00%,10.81B,11.06K,금융
IBKS제21호스팩,442770,2.55K,-0.58%,10.80B,11.03K,금융
하이제7호스팩,400840,2.10K,0.00%,10.73B,6.20K,금융
IBKS No.23,467930,2.26K,0.00%,9.56B,1.37K,금융
교보13호스팩,440790,2.31K,-0.65%,9.42B,26.53K,금융
Korea No.13,464440,2.17K,-0.23%,9.42B,584.00,금융
신한제10호스팩,418210,2.50K,-0.20%,9.17B,1.89K,금융
BNK 1,445360,2.09K,0.00%,9.01B,1.42K,금융
키움제7호스팩,433530,2.15K,-0.46%,8.87B,13.83K,금융
한화플러스제2호스팩,386580,2.04K,0.00%,8.49B,0.00,금융
에스케이증권제8호스팩,435870,2.24K,0.00%,8.33B,0.00,금융
유진스팩9호,442130,2.38K,0.00%,8.23B,1.28K,금융
키움제6호스팩,413600,2.36K,-1.05%,8.18B,10.19K,금융
리노공업,058470,269.50K,0.94%,4.03T,118.25K,기술
HPSP,403870,44.00K,3.77%,3.52T,1.45M,기술
레인보우로보틱스,277810,171.10K,2.58%,3.24T,110.94K,기술
이오테크닉스,039030,246.00K,0.82%,2.95T,175.52K,기술
ISC,095340,92.30K,1.10%,1.87T,276.61K,기술
원익IPS,240810,37.30K,0.67%,1.77T,436.94K,기술
카카오게임즈,293490,20.75K,0.00%,1.70T,133.82K,기술
펄어비스,263750,27.70K,1.84%,1.67T,109.46K,기술
주성엔지니어링,036930,34.95K,1.45%,1.64T,658.73K,기술
위메이드,112040,48.00K,1.27%,1.59T,442.68K,기술
티씨케이,064760,136.00K,-0.37%,1.59T,61.34K,기술
하나마이크론,067310,29.35K,1.56%,1.37T,2.19M,기술
테크윙,089030,38.75K,4.17%,1.33T,1.40M,기술
제이앤티씨,204270,22.60K,8.13%,1.19T,12.43M,기술
아프리카TV,067160,113.90K,3.64%,1.18T,76.05K,기술
유진테크,084370,51.20K,-1.73%,1.16T,239.42K,기술
고영,098460,18.05K,2.15%,1.16T,485.04K,기술
하나머티리얼즈,166090,56.40K,-0.53%,1.12T,226.92K,기술
파크시스템스,140860,159.80K,-0.68%,1.11T,33.51K,기술
가온칩스,399720,101.20K,4.55%,1.11T,304.11K,기술
피에스케이,031980,52.40K,10.55%,1.02T,1.18M,기술
에스앤에스텍,101490,45.70K,0.33%,957.93B,234.05K,기술
심텍,222800,30.30K,2.36%,942.64B,143.71K,기술
SFA반도체,036540,5.88K,2.80%,937.88B,869.78K,기술
PSK,319660,33.30K,2.94%,937.07B,437.25K,기술
코미코,183300,89.00K,3.97%,888.60B,257.95K,기술
서진시스템,178320,23.70K,1.07%,870.25B,278.80K,기술
원익QnC,074600,33.20K,1.07%,863.56B,374.49K,기술
피엔티,137400,39.55K,2.33%,859.79B,80.40K,기술
넥슨게임즈,225570,12.91K,0.62%,819.10B,82.34K,기술
실리콘투,257720,13.26K,3.59%,772.98B,1.15M,기술
제주반도체,080220,23.90K,3.46%,770.46B,1.29M,기술
두산테스나,131970,48.50K,6.24%,757.10B,244.36K,기술
시노펙스,025320,8.55K,0.23%,708.57B,1.28M,기술
Smart Solutions,136510,11.60K,0.00%,666.44B,0.00,기술
티에스이,131290,62.20K,2.13%,650.68B,112.35K,기술
엠로,058970,61.80K,6.74%,649.18B,110.22K,기술
자람테크놀로지,389020,109.50K,4.68%,648.28B,261.52K,기술
필옵틱스,161580,30.70K,9.25%,637.26B,4.31M,기술
오픈엣지테크놀로지,394280,29.70K,2.59%,628.95B,828.05K,기술
넥스틴,348210,62.80K,2.95%,621.36B,92.44K,기술
디어유,376300,26.90K,6.11%,601.77B,90.23K,기술
에프에스티,036810,31.20K,1.96%,599.65B,1.66M,기술
와이아이케이,232140,9.46K,29.95%,584.03B,48.74M,기술
인텔리안테크,189300,56.60K,4.24%,570.78B,62.57K,기술
이녹스첨단소재,272290,29.20K,1.21%,565.80B,116.14K,기술
MIT,038340,1.33K,0.00%,564.74B,0.00,기술
안랩,053800,64.40K,0.47%,556.76B,68.09K,기술
케이엠더블유,032500,14.30K,2.44%,555.90B,130.50K,기술
이엠텍,091120,34.35K,1.93%,553.93B,143.94K,기술
제우스,079370,18.29K,5.42%,538.14B,983.25K,기술
에스티아이,039440,42.00K,15.86%,534.22B,3.97M,기술
서울반도체,046890,9.49K,0.96%,529.98B,115.78K,기술
에이디테크놀로지,200710,42.50K,4.94%,528.75B,444.57K,기술
데브시스터즈,194480,48.75K,1.88%,514.87B,48.22K,기술
테스,095610,29.75K,1.54%,513.96B,2.06M,기술
커넥트웨이브,119860,12.85K,-0.46%,513.46B,127.20K,기술
웹젠,069080,16.76K,0.36%,492.10B,25.13K,기술
한글과컴퓨터,030520,22.25K,8.27%,490.65B,2.14M,기술
칩스앤미디어,094360,23.55K,1.29%,484.14B,213.13K,기술
AP시스템,265520,32.80K,8.79%,452.86B,3.63M,기술
네오셈,253590,12.19K,11.63%,451.21B,3.79M,기술
컴투스,078340,38.65K,1.05%,436.62B,24.23K,기술
셀바스AI,108860,16.31K,0.62%,436.28B,143.71K,기술
젬백스,082270,11.19K,1.36%,435.17B,33.93K,기술
유티아이,179900,27.50K,0.18%,434.30B,84.92K,기술
GST,083450,48.65K,2.85%,426.29B,635.80K,기술
샘씨엔에스,252990,8.59K,6.97%,424.78B,14.45M,기술
인텍플러스,064290,34.95K,2.34%,422.31B,173.27K,기술
인탑스,049070,26.30K,0.77%,420.14B,134.74K,기술
파트론,091700,8.02K,1.52%,418.80B,225.58K,기술
미래나노텍,095500,15.64K,3.03%,418.47B,248.18K,기술
케이아이엔엑스,093320,92.00K,6.36%,418.39B,21.86K,기술
월덱스,101160,25.30K,0.20%,416.90B,260.88K,기술
네패스,033640,18.65K,2.47%,413.86B,353.75K,기술
아이티엠반도체,084850,18.96K,-2.22%,403.89B,22.34K,기술
네오위즈,095660,20.10K,2.08%,401.45B,42.67K,기술
중앙디앤엠,051980,5.13K,1.99%,393.73B,1.66M,기술
네패스아크,330860,33.40K,3.89%,391.72B,610.24K,기술
NHN한국사이버결제,060250,11.69K,0.86%,391.35B,301.60K,기술
티에프이,425420,39.40K,15.20%,389.23B,286.96K,기술
켐트로닉스,089010,26.65K,1.33%,387.63B,668.72K,기술
RFHIC,218410,15.20K,1.88%,386.42B,77.97K,기술
카페24,042000,15.91K,0.44%,382.98B,148.39K,기술
동운아나텍,094170,20.40K,0.99%,382.85B,153.52K,기술
예스티,122640,21.65K,4.34%,379.12B,279.98K,기술
프로텍,053610,42.35K,1.32%,376.20B,46.91K,기술
현대무벡스,319400,2.89K,2.12%,374.84B,156.10K,기술
HB솔루션,297890,5.78K,7.04%,373.91B,3.73M,기술
세경하이테크,148150,10.41K,-1.33%,372.97B,770.18K,기술
HLB Innovation,024850,5.23K,3.16%,366.92B,480.17K,기술
텔레칩스,054450,25.60K,4.07%,363.13B,149.94K,기술
에스에이엠티,031330,3.60K,-0.41%,354.74B,726.12K,기술
유니셈,036200,11.71K,0.09%,349.65B,6.19M,기술
뷰노,338220,26.95K,5.89%,349.05B,164.67K,기술
HB테크놀러지,078150,3.90K,0.13%,346.53B,23.76M,기술
에이피티씨,089970,16.60K,5.26%,344.74B,412.46K,기술
상아프론테크,089980,22.10K,0.00%,344.55B,110.17K,기술
미코,059090,11.59K,6.33%,343.31B,300.87K,기술
선익시스템,171090,42.95K,9.57%,343.21B,792.36K,기술
아이원스,114810,12.39K,1.56%,336.66B,158.23K,기술
한양디지텍,078350,23.00K,2.22%,336.25B,453.89K,기술
쏠리드,050890,5.59K,2.01%,333.48B,202.01K,기술
위메이드맥스,101730,10.14K,0.80%,332.12B,65.00K,기술
엘비세미콘,061970,7.65K,0.92%,331.89B,294.99K,기술
티로보틱스,117730,18.37K,2.57%,319.46B,93.36K,기술
인터플렉스,051370,14.16K,3.89%,317.95B,222.61K,기술
유니테스트,086390,16.50K,6.25%,315.77B,438.58K,기술
KH바텍,060720,14.25K,1.06%,314.11B,95.66K,기술
폴라리스오피스,041020,6.43K,2.39%,312.01B,970.93K,기술
비즈니스온,138580,14.09K,4.29%,303.48B,111.53K,기술
유진로봇,056080,8.19K,1.61%,302.35B,92.84K,기술
덕산하이메탈,077360,6.71K,0.90%,302.16B,72.49K,기술
로보티즈,108490,24.20K,3.42%,301.37B,228.68K,기술
KG이니시스,035600,11.37K,0.62%,300.79B,54.62K,기술
오로스테크놀로지,322310,32.70K,1.24%,299.36B,92.56K,기술
파워로직스,047310,8.29K,1.84%,290.88B,437.04K,기술
파인엠텍,441270,8.00K,2.30%,288.66B,131.92K,기술
아이쓰리시스템,214430,41.45K,2.35%,287.82B,45.02K,기술
갤럭시아머니트리,094480,7.36K,0.55%,287.16B,105.05K,기술
엑시콘,092870,29.15K,6.00%,283.26B,1.40M,기술
톱텍,108230,7.79K,1.17%,280.55B,60.26K,기술
솔트룩스 ,304100,23.75K,3.49%,277.55B,244.53K,기술
넵튠,217270,6.19K,0.65%,275.36B,10.48K,기술
BCNC,146320,21.50K,-0.69%,274.86B,54.34K,기술
어보브반도체,102120,16.97K,1.92%,274.70B,790.34K,기술
원익홀딩스,030530,3.62K,1.12%,273.45B,107.56K,기술
비나텍,126340,48.05K,4.57%,271.85B,53.76K,기술
미래반도체,254490,19.14K,1.75%,271.58B,48.33K,기술
아나패스,123860,22.20K,0.00%,269.14B,48.57K,기술
티엘비,356860,28.45K,4.02%,267.28B,935.90K,기술
코난테크놀로지,402030,23.70K,1.50%,266.70B,41.32K,기술
슈어소프트테크,298830,5.08K,0.79%,263.05B,238.91K,기술
에브리봇,270660,22.30K,5.19%,258.46B,169.17K,기술
디엔에프,092070,22.60K,1.35%,258.05B,114.50K,기술
비덴트,121800,3.32K,0.00%,256.30B,0.00,기술
엠케이전자,033160,11.98K,1.53%,249.42B,74.76K,기술
케이티알파,036030,5.08K,0.40%,248.04B,19.61K,기술
새로닉스,042600,21.15K,4.70%,247.08B,14.30K,기술
이트론,096040,271.00,0.00%,245.56B,0.00,기술
AP위성,211270,16.67K,3.67%,242.52B,225.75K,기술
이스트소프트,047560,24.00K,-1.64%,239.53B,193.75K,기술
토비스,051360,16.04K,3.02%,239.36B,66.17K,기술
컨텍,451760,16.95K,3.67%,238.54B,146.37K,기술
디이엔티,079810,11.12K,1.92%,238.41B,105.06K,기술
코나아이,052400,17.96K,2.05%,235.96B,24.46K,기술
유비케어,032620,4.75K,2.48%,234.94B,133.38K,기술
코세스,089890,14.83K,4.95%,234.35B,214.41K,기술
나무가,190510,14.52K,0.97%,233.80B,70.15K,기술
케이알엠,093640,8.11K,2.01%,232.25B,20.43K,기술
가비아,079940,18.37K,3.79%,231.51B,37.50K,기술
뉴파워프라즈마,144960,5.78K,1.40%,230.65B,215.85K,기술
미래컴퍼니,049950,29.55K,2.07%,229.48B,80.15K,기술
와이솔,122990,8.28K,0.12%,228.84B,41.78K,기술
에이팩트,200470,5.85K,9.55%,226.21B,4.61M,기술
포인트모바일,318020,18.10K,0.00%,225.59B,0.00,기술
아바코,083930,15.93K,2.58%,223.74B,37.45K,기술
대아티아이,045390,3.05K,1.33%,212.12B,163.25K,기술
에스티큐브,052020,4.69K,5.87%,208.02B,204.34K,기술
이노와이어리스,073490,27.70K,1.28%,207.97B,39.55K,기술
유비쿼스홀딩스,078070,12.35K,-0.40%,204.76B,2.49K,기술
드림어스컴퍼니,060570,2.79K,3.15%,204.18B,32.37K,기술
싸이맥스,160980,20.30K,4.21%,199.09B,484.28K,기술
컴투스홀딩스,063080,30.85K,2.32%,198.49B,14.04K,기술
나이스정보통신,036800,22.30K,1.13%,197.46B,11.39K,기술
아이디스,143160,18.36K,-0.86%,191.38B,21.91K,기술
한국정보인증,053300,4.79K,2.57%,188.90B,28.45K,기술
노바텍,285490,19.25K,4.05%,187.35B,54.19K,기술
쿠콘,294570,18.43K,0.71%,184.31B,13.73K,기술
뉴프렉스,085670,7.50K,0.81%,181.91B,685.79K,기술
넥스트칩,396270,10.31K,2.59%,181.41B,90.56K,기술
슈피겐코리아,192440,30.85K,2.66%,181.20B,3.32K,기술
알서포트,131370,3.56K,2.74%,180.74B,83.06K,기술
펨트론,168360,8.67K,2.12%,180.74B,268.14K,기술
타이거일렉,219130,30.90K,8.42%,179.96B,188.58K,기술
퓨런티어,370090,22.15K,1.14%,179.18B,27.41K,기술
에치에프알,230240,13.59K,1.42%,175.86B,49.45K,기술
율호,072770,2.50K,1.01%,171.42B,596.28K,기술
모다이노칩,080420,2.19K,2.09%,171.40B,1.80K,기술
아이텍반도체,119830,8.32K,3.61%,170.97B,225.39K,기술
조이시티,067000,2.50K,2.89%,169.52B,121.69K,기술
풍원정밀,371950,8.13K,0.99%,169.38B,401.02K,기술
유비쿼스,264450,16.52K,0.06%,169.16B,27.74K,기술
로체시스템즈,071280,10.49K,-6.09%,166.61B,234.04K,기술
아바텍,149950,12.26K,0.57%,165.83B,9.82K,기술
코아시아,045970,6.93K,-1.70%,165.08B,209.21K,기술
지오엘리먼트,311320,13.30K,1.76%,164.87B,60.77K,기술
드림시큐리티,203650,3.31K,1.54%,164.72B,166.36K,기술
헥토이노베이션,214180,13.22K,0.30%,163.11B,7.97K,기술
디에스케이,109740,6.57K,3.96%,162.49B,71.22K,기술
엘비루셈,376190,6.67K,1.06%,162.36B,24.45K,기술
하이딥,365590,1.20K,0.25%,162.05B,214.14K,기술
아모그린텍,125210,10.07K,2.55%,162.00B,81.02K,기술
엑셈,205100,2.32K,3.11%,160.12B,561.86K,기술
라온텍,418420,5.56K,2.96%,159.55B,65.14K,기술
Hanwool Materials Science,091440,11.10K,-2.12%,159.35B,74.08K,기술
딥노이드,315640,7.85K,10.56%,159.19B,425.37K,기술
알에스오토메이션,140670,17.52K,2.04%,158.08B,191.52K,기술
제이스텍,090470,9.14K,0.33%,158.06B,29.74K,기술
디케이티,290550,8.65K,3.47%,157.96B,70.47K,기술
신테카바이오,226330,10.78K,4.66%,157.16B,82.72K,기술
아비코전자,036010,11.78K,1.82%,153.80B,65.60K,기술
슈프리마,236200,23.30K,5.19%,152.82B,62.34K,기술
에이엘티,172670,23.00K,0.66%,152.39B,291.07K,기술
서울옥션,063170,9.05K,0.00%,152.38B,46.53K,기술
아스플로,159010,11.68K,0.78%,152.29B,42.06K,기술
제이엘케이,322510,10.20K,6.36%,152.13B,156.36K,기술
케이엔제이,272110,19.35K,3.09%,149.70B,170.20K,기술
JNB,452160,16.84K,3.89%,149.35B,410.21K,기술
윈스,136540,12.25K,0.25%,148.72B,11.74K,기술
팅크웨어,084730,14.35K,2.35%,146.92B,28.81K,기술
플리토,300080,27.00K,1.31%,146.49B,64.75K,기술
광무,029480,3.09K,1.31%,146.00B,388.06K,기술
시그네틱스,033170,1.82K,6.87%,145.91B,3.29M,기술
아이씨디,040910,9.14K,2.24%,144.85B,286.89K,기술
서울바이오시스,092190,3.25K,1.56%,144.73B,10.28K,기술
엔젯,419080,13.57K,0.44%,142.10B,143.76K,기술
우주일렉트로,065680,18.50K,5.71%,140.67B,46.48K,기술
한컴MDS,086960,1.61K,0.63%,140.20B,401.33K,기술
에스코넥,096630,1.78K,-1.82%,139.78B,1.49M,기술
에이스테크,088800,2.02K,0.50%,139.55B,400.67K,기술
3S,060310,2.88K,0.35%,139.06B,1.17M,기술
이브이첨단소재,131400,2.42K,4.09%,138.24B,363.51K,기술
다산네트웍스,039560,3.65K,2.10%,138.10B,118.80K,기술
삼지전자,037460,8.91K,-0.11%,136.94B,27.17K,기술
라온피플,300120,6.80K,3.82%,136.27B,53.55K,기술
야스,255440,11.20K,5.86%,136.11B,82.74K,기술
현대이지웰,090850,5.63K,-0.71%,134.64B,28.64K,기술
덕우전자,263600,8.55K,1.42%,134.29B,133.88K,기술
매커스,093520,13.11K,1.79%,132.54B,75.27K,기술
코닉오토메이션,391710,3.25K,3.01%,130.94B,162.78K,기술
라온시큐어,042510,2.36K,1.07%,130.82B,92.21K,기술
마음AI,377480,21.35K,0.71%,130.72B,37.90K,기술
씨앤지하이테크,264660,14.33K,2.50%,130.25B,51.86K,기술
네오위즈홀딩스,042420,19.27K,0.36%,129.73B,15.70K,기술
세종텔레콤,036630,619.00,0.00%,129.39B,284.92K,기술
Ghost Studio DRC,950190,10.66K,-1.48%,129.30B,11.72K,기술
오이솔루션,138080,12.40K,0.81%,128.81B,20.48K,기술
엘컴텍,037950,1.50K,-1.77%,128.55B,5.10M,기술
오킨스전자,080580,7.74K,5.16%,126.61B,187.97K,기술
한국경제TV,039340,5.83K,1.04%,126.55B,10.06K,기술
Polaris AI,039980,1.73K,-1.59%,124.83B,2.00M,기술
네온테크,306620,3.17K,1.61%,124.58B,688.22K,기술
APS홀딩스,054620,7.29K,3.26%,123.39B,41.07K,기술
아이퀘스트,262840,3.35K,0.60%,122.78B,420.25K,기술
우리바이오,082850,2.60K,0.77%,121.98B,492.56K,기술
SBW생명과학,151910,640.00,0.00%,121.65B,0.00,기술
서플러스글로벌,140070,3.62K,3.29%,121.38B,70.74K,기술
오션브릿지,241790,12.67K,1.60%,121.07B,171.17K,기술
세코닉스,053450,7.69K,-7.01%,120.98B,1.51M,기술
IlWoul GML,178780,1.73K,0.00%,120.77B,0.00,기술
아이티센,124500,5.15K,-1.72%,120.59B,856.04K,기술
아이에이,038880,384.00,0.52%,120.46B,942.70K,기술
웹케시,053580,9.30K,3.33%,120.45B,11.75K,기술
크라우드웍스,355390,30.10K,3.44%,120.01B,29.70K,기술
알에프텍,061040,3.83K,2.27%,117.69B,38.94K,기술
심텍홀딩스,036710,2.56K,1.79%,116.77B,105.09K,기술
Genohco,361390,16.30K,4.76%,116.71B,54.94K,기술
데이타솔루션,263800,7.55K,5.45%,116.11B,1.66M,기술
ITX엠투엠,099520,1.28K,0.00%,116.09B,0.00,기술
지어소프트,051160,7.25K,-3.07%,115.75B,128.42K,기술
아모센스,357580,10.38K,0.87%,115.46B,24.20K,기술
라온테크,232680,9.08K,-0.22%,114.06B,36.93K,기술
포인트엔지니어링,256630,2.00K,0.40%,113.66B,61.30K,기술
에이텍,045660,14.72K,1.17%,112.94B,212.80K,기술
제너셈,217190,13.24K,3.44%,112.25B,223.35K,기술
트루엔,417790,10.28K,1.48%,111.43B,19.46K,기술
케이옥션,102370,4.33K,0.70%,111.32B,47.11K,기술
케이피에스,256940,5.90K,0.85%,109.68B,10.86K,기술
탑엔지니어링,065130,6.83K,1.49%,108.53B,94.21K,기술
유아이엘,049520,5.28K,2.72%,107.86B,49.62K,기술
에스트래픽,234300,3.99K,1.14%,107.47B,69.70K,기술
이지케어텍,099750,16.11K,0.75%,107.47B,5.92K,기술
아진엑스텍,059120,11.20K,2.19%,106.84B,118.56K,기술
인성정보,033230,2.83K,3.10%,106.53B,568.92K,기술
바이오스마트,038460,5.35K,3.28%,106.43B,2.71M,기술
서원인텍,093920,5.70K,0.18%,105.83B,9.11K,기술
아모텍,052710,7.32K,1.10%,105.79B,9.11K,기술
코텍,052330,8.01K,4.03%,105.62B,78.65K,기술
모비스,250060,3.38K,2.12%,105.57B,239.90K,기술
에스넷,038680,6.09K,7.41%,103.26B,297.21K,기술
캠시스,050110,1.40K,0.36%,101.88B,153.76K,기술
옵트론텍,082210,4.12K,2.62%,101.62B,66.60K,기술
상보,027580,1.80K,1.87%,100.93B,1.58M,기술
한송네오텍,226440,1.53K,0.00%,100.58B,0.00,기술
인포마크,175140,4.78K,2.36%,100.48B,265.88K,기술
엠게임,058630,5.32K,1.33%,100.34B,41.60K,기술
위메이드플레이,123420,9.60K,-0.10%,99.95B,47.52K,기술
파이버프로,368770,3.15K,2.77%,99.78B,107.27K,기술
지니언스,263860,11.55K,0.00%,99.62B,14.65K,기술
포스뱅크,105760,11.19K,5.47%,99.26B,133.19K,기술
오파스넷,173130,7.65K,2.14%,97.72B,163.07K,기술
엑스페릭스,317770,4.25K,-0.58%,97.39B,111.92K,기술
링네트,042500,7.00K,16.09%,97.03B,2.24M,기술
다보링크,340360,2.24K,0.22%,96.97B,402.99K,기술
삼양옵틱스,225190,9.61K,0.00%,96.63B,0.00,기술
휴맥스,115160,2.29K,2.91%,96.16B,58.60K,기술
액토즈소프트,052790,8.92K,1.36%,96.14B,9.47K,기술
비아트론,141000,8.54K,-1.27%,95.43B,35.55K,기술
맥스트,377030,5.00K,2.78%,95.11B,29.23K,기술
비트컴퓨터,032850,5.95K,2.59%,94.55B,152.98K,기술
위지트,036090,799.00,0.88%,93.41B,1.81M,기술
토마토시스템,393210,6.76K,11.74%,92.91B,2.13M,기술
에프엔에스테크,083500,12.01K,3.80%,92.48B,203.52K,기술
제이티,089790,10.20K,2.51%,90.76B,177.71K,기술
와이어블,065530,1.91K,1.16%,90.42B,31.05K,기술
케이사인,192250,1.36K,4.31%,90.19B,685.73K,기술
태성,323280,3.70K,3.79%,90.09B,157.01K,기술
스코넥,276040,6.70K,-6.29%,89.76B,314.49K,기술
링크제니시스,219420,8.03K,1.65%,88.91B,229.11K,기술
가온미디어,078890,5.66K,1.62%,88.84B,94.73K,기술
이삭엔지니어링,351330,11.05K,3.27%,88.69B,98.80K,기술
와이엠씨,155650,4.93K,1.34%,88.59B,69.78K,기술
로보로보,215100,4.39K,0.46%,88.42B,32.16K,기술
화인써키트,127980,7.82K,4.83%,88.32B,97.42K,기술
오비고,352910,7.25K,0.28%,88.17B,16.26K,기술
ICH,368600,5.34K,4.71%,87.65B,78.06K,기술
핌스,347770,3.87K,1.05%,87.43B,52.83K,기술
아톤,158430,4.06K,1.00%,87.34B,85.86K,기술
홈캐스트,064240,2.56K,0.98%,87.28B,57.27K,기술
레이저쎌,412350,10.22K,2.20%,87.06B,353.52K,기술
모아데이타,288980,2.64K,4.55%,86.85B,1.59M,기술
오상자이엘,053980,4.62K,0.98%,86.42B,8.19K,기술
티사이언티픽,057680,1.21K,-3.28%,85.70B,311.51K,기술
성호전자,043260,1.80K,2.50%,85.30B,1.49M,기술
Equipments Cell,160600,3.10K,0.00%,85.04B,0.00,기술
대한광통신,010170,1.17K,3.27%,84.20B,380.65K,기술
파이오링크,170790,13.22K,7.65%,84.20B,49.41K,기술
에스엔유,080000,2.52K,2.86%,83.83B,28.28K,기술
한국컴퓨터,054040,5.97K,0.67%,83.83B,80.42K,기술
램테크놀러지,171010,5.90K,0.00%,83.80B,627.44K,기술
윈팩,097800,1.38K,-1.99%,83.66B,1.51M,기술
라이트론,069540,3.13K,8.85%,82.44B,4.52M,기술
TechL,064520,3.62K,-3.08%,82.06B,51.46K,기술
핸디소프트,220180,4.05K,-3.91%,81.80B,3.69M,기술
큐에스아이,066310,9.14K,2.12%,81.66B,12.40K,기술
빅솔론,093190,5.22K,0.38%,81.57B,8.87K,기술
세토피아,222810,1.08K,0.00%,81.19B,0.00,기술
TJ미디어,032540,5.76K,-0.86%,80.94B,19.01K,기술
인지디스플레,037330,1.87K,0.32%,80.64B,39.82K,기술
메디프론,065650,1.29K,1.26%,80.46B,650.26K,기술
이노뎁,303530,11.40K,4.01%,80.44B,33.14K,기술
마이크로투나노,424980,14.50K,6.70%,80.44B,113.57K,기술
