Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
017670.KS,KR7017670001,SK텔레콤,KOSPI,,50500,2,-700,-1.37,50900,51200,50200,583678,29485776200,10846897676500,214790053,STK
402340.KS,KR7402340004,SK스퀘어,KOSPI,,77900,1,4800,6.57,72700,79300,72300,707521,54909186900,10826622704400,138981036,STK
011200.KS,KR7011200003,HMM,KOSPI,,15380,2,-220,-1.41,15610,15720,15210,1460609,22411525130,10597427448480,689039496,STK
329180.KS,KR7329180004,HD현대중공업,KOSPI,,117900,1,3400,2.97,114800,118700,112900,144606,16869985300,10466350376400,88773116,STK
096770.KS,KR7096770003,SK이노베이션,KOSPI,,108400,2,-2200,-1.99,110000,110800,108000,436754,47634245600,10377737956000,95735590,STK
024110.KS,KR7024110009,기업은행,KOSPI,,12740,2,-360,-2.75,13010,13080,12690,1775794,22758079300,10159205571060,797425869,STK
316140.KS,KR7316140003,우리금융지주,KOSPI,,13410,2,-360,-2.61,13590,13700,13340,2600613,34986829760,9958152028410,742591501,STK
010130.KS,KR7010130003,고려아연,KOSPI,,470500,2,-1500,-0.32,472000,474500,466500,41798,19615286000,9837490654000,20908588,STK
034020.KS,KR7034020008,두산에너빌리티,KOSPI,,15310,1,190,1.26,15060,15380,14940,3322574,50572251220,9806991145260,640561146,STK
196170.KQ,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,178700,1,5200,3.0,174100,183900,170600,1492397,266523090400,9473213663600,53011828,KSQ
030200.KS,KR7030200000,KT,KOSPI,,34600,2,-800,-2.26,35050,35450,34300,912125,31606376650,8897908481000,257164985,STK
352820.KS,KR7352820005,하이브,KOSPI,,213000,2,-3500,-1.62,214500,220000,211500,169264,36388787500,8871896661000,41652097,STK
010950.KS,KR7010950004,S-Oil,KOSPI,,78600,2,-4100,-4.96,82100,82400,77500,503375,39870626000,8849007451200,112582792,STK
042660.KS,KR7042660001,한화오션,KOSPI,,28500,1,2350,8.99,26450,28600,25850,2556078,70970263100,8731228621500,306358899,STK
267260.KS,KR7267260008,HD현대일렉트릭,KOSPI,,235000,1,3000,1.29,238500,265500,224000,1265778,307688758000,8471076725000,36047135,STK
009540.KS,KR7009540006,HD한국조선해양,KOSPI,,117600,1,1300,1.12,116300,120100,114600,235254,27602963500,8322918441600,70773116,STK
047050.KS,KR7047050000,포스코인터내셔널,KOSPI,,46450,2,-1050,-2.21,47850,47900,46400,449157,21095676300,8171613502600,175922788,STK
450080.KS,KR7450080007,에코프로머티,KOSPI,,114700,2,-4800,-4.02,120800,122600,114700,291047,34247392400,7912604504600,68985218,STK
090430.KS,KR7090430000,아모레퍼시픽,KOSPI,,135000,1,7600,5.97,127300,136000,125800,381726,51134200850,7896522465000,58492759,STK
010140.KS,KR7010140002,삼성중공업,KOSPI,,8910,1,410,4.82,8520,9000,8440,10258781,90626749790,7840800000000,880000000,STK
003490.KS,KR7003490000,대한항공,KOSPI,,20500,2,-500,-2.38,20900,20950,20500,846918,17467497050,7548523550500,368220661,STK
161390.KS,KR7161390000,한국타이어앤테크놀로지,KOSPI,,59800,2,-700,-1.16,60000,61500,59300,344064,20688720000,7407729126200,123875069,STK
326030.KS,KR7326030004,SK바이오팜,KOSPI,,86700,2,-1200,-1.37,87600,87900,86200,77533,6725175300,6789758775000,78313250,STK
348370.KQ,KR7348370008,엔켐,KOSDAQ,벤처기업부,361500,2,-4000,-1.09,366000,389500,358500,691885,259589277000,6757996318500,18694319,KSQ
022100.KS,KR7022100002,포스코DX,KOSPI,,43200,2,-1100,-2.48,44600,44950,43200,606273,26526748050,6567900292800,152034729,STK
086280.KS,KR7086280005,현대글로비스,KOSPI,,174500,2,-1700,-0.96,175300,177600,172600,71214,12453712900,6543750000000,37500000,STK
005830.KS,KR7005830005,DB손해보험,KOSPI,,88100,2,-7400,-7.75,94000,94000,86500,267144,23705163400,6237480000000,70800000,STK
001570.KS,KR7001570001,금양,KOSPI,,101000,2,-3800,-3.63,104800,104800,100800,461465,47218110500,5863053737000,58050037,STK
066970.KS,KR7066970005,엘앤에프,KOSPI,,160000,2,-7500,-4.48,170500,173400,159400,609760,101132246200,5800958880000,36255993,STK
051900.KS,KR7051900009,LG생활건강,KOSPI,,368000,1,15000,4.25,354500,371000,353500,83842,30614393000,5747496496000,15618197,STK
000100.KS,KR7000100008,유한양행,KOSPI,,71200,1,2000,2.89,69300,71800,69200,354728,25100064700,5710885356800,80209064,STK
088980.KS,KR7088980008,맥쿼리인프라,KOSPI,,12540,2,-10,-0.08,12560,12590,12520,822656,10312983470,5464698191700,435781355,STK
005387.KS,KR7005382007,현대차2우B,KOSPI,,149900,2,-1000,-0.66,151400,152500,149300,117666,17736642200,5414477490300,36120597,STK
241560.KS,KR7241560002,두산밥캣,KOSPI,,53500,1,2300,4.49,51800,54400,51600,310997,16569073770,5363330381000,100249166,STK
267250.KS,KR7267250009,HD현대,KOSPI,,67400,2,-1000,-1.46,68200,68800,66700,280526,18931076200,5324133929000,78993085,STK
034220.KS,KR7034220004,LG디스플레이,KOSPI,,10020,2,-40,-0.4,10070,10190,10020,1113580,11210618580,5010000000000,500000000,STK
454910.KS,KR7454910001,두산로보틱스,KOSPI,,76900,1,3600,4.91,73800,77500,72800,755278,57405902300,4984656462000,64819980,STK
028050.KS,KR7028050003,삼성E&A,KOSPI,,24950,2,-50,-0.2,25000,25350,24800,521625,13067480200,4890200000000,196000000,STK
251270.KS,KR7251270005,넷마블,KOSPI,,56800,2,-200,-0.35,57200,57900,56700,74650,4261408900,4882158913600,85953502,STK
011790.KS,KR7011790003,SKC,KOSPI,,127700,2,-7100,-5.27,135300,135500,127400,943193,122273321100,4835781654600,37868298,STK
011070.KS,KR7011070000,LG이노텍,KOSPI,,202000,1,6400,3.27,199400,204000,196100,191813,38465510800,4780755614000,23667107,STK
047810.KS,KR7047810007,한국항공우주,KOSPI,,48600,2,-1050,-2.11,49400,49600,48600,409810,20028074450,4737290200200,97475107,STK
097950.KS,KR7097950000,CJ제일제당,KOSPI,,314000,2,-1000,-0.32,314000,320000,312000,28012,8844283500,4727014404000,15054186,STK
011170.KS,KR7011170008,롯데케미칼,KOSPI,,110300,2,-1900,-1.69,112100,113900,110100,117116,12998522100,4718128715700,42775419,STK
005070.KS,KR7005070008,코스모신소재,KOSPI,,145000,2,-3700,-2.49,149700,150600,144600,180849,26487818800,4714059620000,32510756,STK
361610.KS,KR7361610009,SK아이이테크놀로지,KOSPI,,65700,2,-1600,-2.38,66700,67100,65600,95562,6309804500,4684251794400,71297592,STK
377300.KS,KR7377300009,카카오페이,KOSPI,,34800,2,-700,-1.97,35500,35600,34800,268372,9396883350,4674969116400,134338193,STK
302440.KS,KR7302440003,SK바이오사이언스,KOSPI,,60100,1,400,0.67,59500,60200,59100,56582,3385377400,4617347775000,76827750,STK
064350.KS,KR7064350002,현대로템,KOSPI,,41600,2,-250,-0.6,41850,43450,40750,4405673,184908434050,4540319388800,109142293,STK
006800.KS,KR7006800007,미래에셋증권,KOSPI,,7600,2,-140,-1.81,7740,7750,7420,728607,5518371960,4524404700800,595316408,STK
009830.KS,KR7009830001,한화솔루션,KOSPI,,25700,2,-1250,-4.64,26850,26900,25650,1372753,35770935150,4417638175200,171892536,STK
004020.KS,KR7004020004,현대제철,KOSPI,,31700,2,-150,-0.47,31850,32000,31600,269374,8549993500,4230231384500,133445785,STK
010120.KS,KR7010120004,LS ELECTRIC,KOSPI,,139700,1,12200,9.57,131000,157700,129100,3432828,495699434800,4191000000000,30000000,STK
032640.KS,KR7032640005,LG유플러스,KOSPI,,9590,2,-40,-0.42,9610,9640,9520,1124227,10774396030,4187102951990,436611361,STK
058470.KQ,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,274500,1,19000,7.44,260000,279500,256000,384850,104639265000,4184030565000,15242370,KSQ
021240.KS,KR7021240007,코웨이,KOSPI,,55800,2,-100,-0.18,55100,56500,55100,90391,5052991000,4118018740200,73799619,STK
029780.KS,KR7029780004,삼성카드,KOSPI,,35400,3,0,0.0,35050,35650,34850,98802,3494335250,4101404741400,115858891,STK
307950.KS,KR7307950006,현대오토에버,KOSPI,,149400,2,-1200,-0.8,152000,152000,148500,92533,13847208200,4097142910800,27423982,STK
078930.KS,KR7078930005,GS,KOSPI,,43700,2,-4750,-9.8,48450,48700,43700,557730,25288110300,4060402018600,92915378,STK
128940.KS,KR7128940004,한미약품,KOSPI,,316000,1,3000,0.96,312000,318000,306500,30219,9455791000,4048273156000,12810991,STK
180640.KS,KR7180640005,한진칼,KOSPI,,59300,2,-2300,-3.73,61000,61500,59300,69627,4172665300,3959003144700,66762279,STK
006260.KS,KR7006260004,LS,KOSPI,,122100,1,7200,6.27,116200,128100,113700,1168421,143294515500,3931620000000,32200000,STK
036570.KS,KR7036570000,엔씨소프트,KOSPI,,176000,2,-1800,-1.01,178600,180400,176000,93037,16534248300,3863907872000,21954022,STK
068760.KQ,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,96300,1,1200,1.26,96100,97300,94200,96723,9290042500,3814733440800,39613016,KSQ
271560.KS,KR7271560005,오리온,KOSPI,,95600,2,-900,-0.93,96500,97100,93800,244592,23294779000,3779654219200,39536132,STK
005940.KS,KR7005940002,NH투자증권,KOSPI,,11040,2,-170,-1.52,11210,11210,10970,445487,4918661590,3661591767840,331665921,STK
000720.KS,KR7000720003,현대건설,KOSPI,,32700,2,-700,-2.1,33150,33200,32600,310130,10178721900,3641333515500,111355765,STK
079550.KS,KR7079550000,LIG넥스원,KOSPI,,163900,2,-2300,-1.38,167100,168400,163400,157539,25965153900,3605800000000,22000000,STK
005385.KS,KR7005381009,현대차우,KOSPI,,148500,2,-1200,-0.8,149500,150800,147500,52392,7806731600,3580798171500,24113119,STK
403870.KQ,KR7403870009,HPSP,KOSDAQ,벤처기업부,42950,1,400,0.94,43750,44300,42450,2399482,103874242000,3562021484800,82934144,KSQ
071050.KS,KR7071050009,한국금융지주,KOSPI,,62800,2,-1000,-1.57,63400,64500,62500,128151,8100105900,3499592297600,55725992,STK
003410.KS,KR7003410008,쌍용C&E,KOSPI,,7000,3,0,0.0,7000,7020,7000,247284,1731574630,3490878776000,498696968,STK
277810.KQ,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,179900,1,300,0.17,180600,181200,178400,137474,24714704800,3490034454200,19399858,KSQ
011780.KS,KR7011780004,금호석유,KOSPI,,119900,2,-3400,-2.76,122800,123000,119400,93623,11287447600,3422866712100,28547679,STK
001040.KS,KR7001040005,CJ,KOSPI,,115500,2,-4800,-3.99,120400,120500,113700,274665,31830343700,3369943269000,29176998,STK
039030.KQ,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,273000,1,16000,6.23,261000,281000,261000,478939,130470051500,3363237150000,12319550,KSQ
016360.KS,KR7016360000,삼성증권,KOSPI,,36800,2,-650,-1.74,37450,37450,36600,267592,9885620700,3286240000000,89300000,STK
272210.KS,KR7272210006,한화시스템,KOSPI,,17110,1,120,0.71,17020,17200,16800,733220,12466219200,3232410745790,188919389,STK
035250.KS,KR7035250000,강원랜드,KOSPI,,15010,2,-110,-0.73,15120,15150,14850,1021900,15302875480,3211246905000,213940500,STK
298040.KS,KR7298040007,효성중공업,KOSPI,,339000,1,22000,6.94,325000,349000,310500,280216,93496871500,3161021772000,9324548,STK
039490.KS,KR7039490008,키움증권,KOSPI,,120500,2,-3200,-2.59,123000,123800,120400,41664,5072624000,3160318073000,26226706,STK
018880.KS,KR7018880005,한온시스템,KOSPI,,5540,2,-140,-2.46,5660,5680,5450,987001,5483244540,2957252000000,533800000,STK
000150.KS,KR7000150003,두산,KOSPI,,164000,1,12200,8.04,155500,165900,155400,421166,68608697100,2709908940000,16523835,STK
000120.KS,KR7000120006,CJ대한통운,KOSPI,,118200,2,-5100,-4.14,123100,124500,117800,71831,8605752000,2696419060800,22812344,STK
004990.KS,KR7004990008,롯데지주,KOSPI,,25700,2,-400,-1.53,25900,26100,25500,159557,4101762650,2696167390900,104909237,STK
007660.KS,KR7007660004,이수페타시스,KOSPI,,42000,2,-450,-1.06,43550,44250,41800,4092683,176817808250,2656349598000,63246419,STK
001450.KS,KR7001450006,현대해상,KOSPI,,28750,2,-1450,-4.8,29950,29950,28700,900892,26100926050,2570250000000,89400000,STK
001440.KS,KR7001440007,대한전선,KOSPI,,13330,1,380,2.93,13330,14250,13170,39072799,540113199060,2485342509000,186447300,STK
000250.KQ,KR7000250001,삼천당제약,KOSDAQ,중견기업부,105800,1,8400,8.62,98400,108200,98200,1977183,206793038500,2481800537600,23457472,KSQ
065350.KQ,KR7065350001,신성델타테크,KOSDAQ,우량기업부,89800,2,-3900,-4.16,93000,93400,87600,885392,79788686300,2468058530400,27483948,KSQ
008930.KS,KR7008930000,한미사이언스,KOSPI,,35000,2,-500,-1.41,35450,35500,34600,168854,5903023500,2448492900000,69956940,STK
010620.KS,KR7010620003,현대미포조선,KOSPI,,61300,1,1000,1.66,60500,62000,60300,152381,9323885100,2448453733700,39942149,STK
138930.KS,KR7138930003,BNK금융지주,KOSPI,,7510,2,-140,-1.83,7630,7650,7460,957813,7223985350,2418884169380,322088438,STK
005290.KQ,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,46950,2,-1000,-2.09,49200,49200,46550,1201041,57325998500,2413910493300,51414494,KSQ
383220.KS,KR7383220001,F&F,KOSPI,,62800,2,-3900,-5.85,66600,67100,62800,395697,25393188200,2405684310000,38307075,STK
214150.KQ,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,37150,2,-300,-0.8,37500,37800,36800,127929,4761069350,2377582130850,63999519,KSQ
145020.KQ,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,197500,1,4300,2.23,193400,200500,193400,54879,10835407100,2372743670000,12013892,KSQ
175330.KS,KR7175330000,JB금융지주,KOSPI,,12050,2,-130,-1.07,12100,12190,11970,452532,5446650628,2350752535900,195083198,STK
081660.KS,KR7081660003,휠라홀딩스,KOSPI,,38350,1,150,0.39,37800,39000,37700,66649,2558889350,2329847713700,60752222,STK
002790.KS,KR7002790004,아모레G,KOSPI,,28200,1,1450,5.42,26650,28350,26600,200627,5579655000,2325320676000,82458180,STK
112610.KS,KR7112610001,씨에스윈드,KOSPI,,55100,2,-2100,-3.67,57500,57900,55100,310215,17344185300,2323644305300,42171403,STK
357780.KQ,KR7357780006,솔브레인,KOSDAQ,우량기업부,298500,1,7500,2.58,297500,310000,294500,55956,16893500500,2321901951000,7778566,KSQ
012750.KS,KR7012750006,에스원,KOSPI,,60700,1,300,0.5,59700,61200,59700,66008,4006288400,2306550104600,37999178,STK
035900.KQ,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,64900,2,-700,-1.07,65700,66800,64100,377808,24665420200,2306058730800,35532492,KSQ
008770.KS,KR7008770000,호텔신라,KOSPI,,58400,2,-400,-0.68,58800,59200,58300,211500,12393036500,2292090266400,39248121,STK
088350.KS,KR7088350004,한화생명,KOSPI,,2630,2,-90,-3.31,2710,2745,2620,3339345,8851594765,2284233900000,868530000,STK
036460.KS,KR7036460004,한국가스공사,KOSPI,,24650,2,-1150,-4.46,25850,25850,24550,316851,7916564350,2275515450000,92313000,STK
052690.KS,KR7052690005,한전기술,KOSPI,,58800,1,300,0.51,58500,59300,58000,120294,7057265100,2247336000000,38220000,STK
004370.KS,KR7004370003,농심,KOSPI,,362500,2,-9000,-2.42,370500,370500,360500,39003,14163629000,2204957725000,6082642,STK
014680.KS,KR7014680003,한솔케미칼,KOSPI,,191500,2,-2800,-1.44,194500,196000,190100,68979,13266634800,2170689842500,11335195,STK
028670.KS,KR7028670008,팬오션,KOSPI,,4050,2,-80,-1.94,4125,4145,4025,1685392,6846816790,2165006523600,534569512,STK
030000.KS,KR7030000004,제일기획,KOSPI,,18580,2,-390,-2.06,18820,18970,18580,198693,3725181790,2137465960500,115041225,STK
002380.KS,KR7002380004,KCC,KOSPI,,233000,2,-9000,-3.72,241000,242000,232500,27864,6542508000,2070547743000,8886471,STK
020150.KS,KR7020150009,롯데에너지머티리얼즈,KOSPI,,44650,2,-1950,-4.18,47000,47350,44650,229901,10508837150,2058848782750,46110835,STK
095340.KQ,KR7095340006,ISC,KOSDAQ,우량기업부,96700,1,400,0.42,97600,101100,96500,609172,60398850000,2049755508600,21197058,KSQ
282330.KS,KR7282330000,BGF리테일,KOSPI,,116700,2,-4000,-3.31,119600,119900,116700,82993,9760795100,2017031830200,17283906,STK
000880.KS,KR7000880005,한화,KOSPI,,26800,2,-750,-2.72,27650,27700,26800,518842,14036178000,2008894098000,74958735,STK
007070.KS,KR7007070006,GS리테일,KOSPI,,19030,2,-660,-3.35,19660,19720,19010,588036,11294869160,1992782055660,104717922,STK
051915.KS,KR7051911006,LG화학우,KOSPI,,259000,1,1000,0.39,258500,265000,258000,16940,4420827500,1991399200000,7688800,STK
023530.KS,KR7023530009,롯데쇼핑,KOSPI,,68000,2,-2500,-3.55,70300,70700,67500,128801,8836283200,1923635340000,28288755,STK
240810.KQ,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,38950,2,-850,-2.14,40650,41000,38500,1055755,41383039900,1911817943950,49083901,KSQ
073240.KS,KR7073240004,금호타이어,KOSPI,,6520,1,30,0.46,6520,6700,6410,846687,5536141270,1872937071240,287260287,STK
000990.KS,KR7000990002,DB하이텍,KOSPI,,42000,2,-1800,-4.11,44250,44300,41900,507984,21786081700,1864740696000,44398588,STK
278470.KS,KR7278470000,에이피알,KOSPI,,241500,1,5500,2.33,237500,242500,233000,100673,24051745500,1831627287000,7584378,STK
141080.KQ,KR7141080002,레고켐바이오,KOSDAQ GLOBAL,기술성장기업부,64400,1,3000,4.89,62000,64900,61200,681823,43395210300,1810947964000,28120310,KSQ
003230.KS,KR7003230000,삼양식품,KOSPI,,240000,1,7000,3.0,233000,250500,232500,126132,30566075000,1807923600000,7533015,STK
457190.KS,KR7457190007,이수스페셜티케미컬,KOSPI,,320500,1,3500,1.1,325000,326500,315000,68567,21973481500,1794746156000,5599832,STK
026960.KS,KR7026960005,동서,KOSPI,,17940,1,50,0.28,17810,18030,17750,92575,1663300980,1788618000000,99700000,STK
009420.KS,KR7009420001,한올바이오파마,KOSPI,,34200,1,2400,7.55,32100,34600,31900,440881,14877974750,1786629819600,52240638,STK
263750.KQ,KR7263750002,펄어비스,KOSDAQ GLOBAL,우량기업부,27800,2,-450,-1.59,28350,28700,27750,263954,7400366850,1786090369000,64247855,KSQ
012510.KS,KR7012510004,더존비즈온,KOSPI,,58700,1,2100,3.71,56500,59700,55200,1431011,82954542200,1783469420800,30382784,STK
041510.KQ,KR7041510009,에스엠,KOSDAQ,우량기업부,75100,2,-2800,-3.59,77500,77800,74200,143362,10859630400,1771573102200,23589522,KSQ
036930.KQ,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,36450,1,450,1.25,36800,37050,35700,745924,27053292900,1758683777400,48249212,KSQ
010060.KS,KR7010060002,OCI홀딩스,KOSPI,,89600,1,1300,1.47,88600,91400,87800,83239,7486908200,1756721075200,19606262,STK
067630.KQ,KR7067630004,HLB생명과학,KOSDAQ,중견기업부,16280,1,180,1.12,16100,16450,15940,779902,12595040340,1740256167760,106895342,KSQ
112040.KQ,KR7112040001,위메이드,KOSDAQ,우량기업부,51300,2,-4200,-7.57,55100,55300,51100,1150487,59928506800,1738966168800,33897976,KSQ
103140.KS,KR7103140000,풍산,KOSPI,,61600,1,2100,3.53,60200,67500,59600,2283913,143970690300,1726295524800,28024278,STK
293490.KQ,KR7293490009,카카오게임즈,KOSDAQ GLOBAL,우량기업부,20550,2,-400,-1.91,21000,21150,20550,207449,4300232100,1697960539350,82625817,KSQ
139480.KS,KR7139480008,이마트,KOSPI,,60900,2,-3100,-4.84,63200,63300,60900,307832,18954992500,1697637377100,27875819,STK
417200.KQ,KR7417200003,LS머트리얼즈,KOSDAQ,중견기업부,24500,1,300,1.24,24250,25150,24250,546305,13520553900,1657490145500,67652659,KSQ
042670.KS,KR7042670000,HD현대인프라코어,KOSPI,,8300,2,-10,-0.12,8310,8460,8170,1280179,10664755500,1656708659900,199603453,STK
281740.KQ,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,25150,1,550,2.24,24700,25700,24350,994325,24946199800,1653123282200,65730548,KSQ
006040.KS,KR7006040000,동원산업,KOSPI,,35550,2,-550,-1.52,36200,36200,35350,22607,806541250,1652458740750,46482665,STK
111770.KS,KR7111770004,영원무역,KOSPI,,37150,2,-700,-1.85,37550,38200,37150,79525,2982537250,1646171036200,44311468,STK
067310.KQ,KR7067310003,하나마이크론,KOSDAQ GLOBAL,우량기업부,31000,2,-500,-1.59,32150,32250,30750,2853622,89659277550,1616230725000,52136475,KSQ
035760.KQ,KR7035760008,CJ ENM,KOSDAQ GLOBAL,우량기업부,73700,2,-2100,-2.77,76800,78200,72900,129533,9633944200,1616178649800,21929154,KSQ
007310.KS,KR7007310006,오뚜기,KOSPI,,394000,2,-2000,-0.51,391500,399000,391000,3182,1253194500,1579085020000,4007830,STK
011210.KS,KR7011210002,현대위아,KOSPI,,58000,1,400,0.69,58000,58300,57200,95973,5556737900,1577314814000,27195083,STK
237690.KQ,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,83300,1,3000,3.74,80700,84100,79900,175555,14510070100,1577194203200,18933904,KSQ
328130.KQ,KR7328130000,루닛,KOSDAQ,기술성장기업부,54800,1,700,1.29,54200,56300,53900,229748,12586638600,1576037588000,28759810,KSQ
004170.KS,KR7004170007,신세계,KOSPI,,159200,2,-3700,-2.27,161300,162100,158700,67858,10835827800,1567352815200,9845181,STK
017800.KS,KR7017800004,현대엘리베이,KOSPI,,40000,1,200,0.5,39550,40550,39500,46445,1862276800,1563695400000,39092385,STK
064760.KQ,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,133000,1,3100,2.39,132000,141100,129500,105536,14209149200,1552775000000,11675000,KSQ
204320.KS,KR7204320006,HL만도,KOSPI,,32900,2,-550,-1.64,33150,33700,32900,149438,4970085850,1544889248000,46957120,STK
047040.KS,KR7047040001,대우건설,KOSPI,,3705,3,0,0.0,3685,3745,3685,750327,2787528115,1539881873790,415622638,STK
051600.KS,KR7051600005,한전KPS,KOSPI,,33850,2,-400,-1.17,34350,34950,33750,226526,7733372700,1523250000000,45000000,STK
