종목코드,시가총액,거래소,섹터
grab,13183400000.0,NASDAQ,기술
glpi,13177200000.0,NASDAQ,부동산
lnt,13090700000.0,NASDAQ,유틸리티
roku,13061200000.0,NASDAQ,소비순환재
vtrs,12992400000.0,NASDAQ,헬스케어
nbix,12945700000.0,NASDAQ,헬스케어
lkq,12788500000.0,NASDAQ,소비순환재
nice,12653300000.0,NASDAQ,기술
celh,12630900000.0,NASDAQ,필수소비재
leco,12438700000.0,NASDAQ,산업
reg,12366900000.0,NASDAQ,부동산
srad,12271200000.0,NASDAQ,기술
morn,12222400000.0,NASDAQ,산업
tech,12202900000.0,NASDAQ,헬스케어
docu,12123900000.0,NASDAQ,기술
evrg,11991400000.0,NASDAQ,유틸리티
jkhy,11900900000.0,NASDAQ,기술
lbrda,11778800000.0,NASDAQ,소비순환재
lbrdk,11773440000.0,NASDAQ,소비순환재
five,11764900000.0,NASDAQ,소비순환재
saia,11633800000.0,NASDAQ,산업
ntnx,11573900000.0,NASDAQ,기술
otex,11409000000.0,NASDAQ,기술
arcc,11405800000.0,NASDAQ,금융
mktx,11100600000.0,NASDAQ,금융
hood,11017300000.0,NASDAQ,기술
apa,11005100000.0,NASDAQ,에너지
qrvo,10962100000.0,NASDAQ,기술
legn,10938200000.0,NASDAQ,헬스케어
lamr,10840400000.0,NASDAQ,부동산
ffiv,10686400000.0,NASDAQ,기술
htht,10661600000.0,NASDAQ,소비순환재
paa,10620000000.0,NASDAQ,에너지
uthr,10333400000.0,NASDAQ,헬스케어
dox,10313700000.0,NASDAQ,기술
wynn,10290500000.0,NASDAQ,소비순환재
casy,10195200000.0,NASDAQ,필수소비재
dbx,10193000000.0,NASDAQ,기술
brkr,10170500000.0,NASDAQ,헬스케어
ewbc,10139900000.0,NASDAQ,금융
czr,10112500000.0,NASDAQ,소비순환재
chk,10084700000.0,NASDAQ,에너지
chrw,10077500000.0,NASDAQ,산업
chdn,10065100000.0,NASDAQ,소비순환재
rgen,10038600000.0,NASDAQ,헬스케어
mtch,9921100000.0,NASDAQ,기술
hsic,9837600000.0,NASDAQ,헬스케어
gtlb,9746200000.0,NASDAQ,기술
etsy,9705400000.0,NASDAQ,소비순환재
paraa,9643080000.0,NASDAQ,소비순환재
lcid,9638500000.0,NASDAQ,소비순환재
para,9634300000.0,NASDAQ,소비순환재
sofi,9539500000.0,NASDAQ,금융
duol,9530800000.0,NASDAQ,기술
lscc,9522600000.0,NASDAQ,기술
eslt,9459800000.0,NASDAQ,산업
lsxma,9411060000.0,NASDAQ,소비순환재
lsxmk,9411060000.0,NASDAQ,소비순환재
medp,9405400000.0,NASDAQ,헬스케어
pcty,9260800000.0,NASDAQ,기술
cybr,9178100000.0,NASDAQ,기술
mstr,9170000000.0,NASDAQ,기술
mndy,9115600000.0,NASDAQ,기술
oled,9057700000.0,NASDAQ,기술
roiv,9028000000.0,NASDAQ,헬스케어
srpt,9020700000.0,NASDAQ,헬스케어
aal,8979600000.0,NASDAQ,산업
ttek,8888600000.0,NASDAQ,산업
ibkr,8871600000.0,NASDAQ,금융
coke,8702500000.0,NASDAQ,필수소비재
wsc,8527500000.0,NASDAQ,산업
seic,8362400000.0,NASDAQ,금융
cytk,8186500000.0,NASDAQ,헬스케어
amkr,8176700000.0,NASDAQ,기술
wwd,8172200000.0,NASDAQ,산업
